state,observation_count,authorized_target_rows_read,unauthorized_later_target_rows_read,active_factor_count,active_factor_fraction,active_set_sha256,active_laplace_leader,full_shadow_leader,action_agreement,full_laplace_ei_regret,active_full_ei_spearman,maximum_absolute_ei_difference,median_absolute_ei_difference,worst_challenger,active_ei_gap,b_struct,max_psi,epsilon_struct,theorem_certificate_passed,map_iterations,map_function_evaluations,map_gradient_infinity_norm,factor_energy_gradient_calls,factor_energy_gradient_work,factor_hessian_calls,factor_hessian_work,single_active_fit_conditioning_seconds,factor_energy_gradient_seconds,hessian_construction_seconds,dense_cholesky_seconds,selected_variance_solve_seconds,laplace_solve_relative_residual,load_solve_seconds,load_solve_iterations,load_solve_relative_residual,peak_rss_bytes,path,checkpoint_index,requested_fraction,target_factor_count,factors_added_to_next_checkpoint,ranking_solve_seconds,ranking_solve_iterations,ranking_solve_relative_residual,contribution_sum_error
seed_0_initial,8,8,0,87303,0.7000032072355233,b7bb614637e954e12870822b759746cda101a28de08ea8932bd1d57cc5b4d53b,13,13,True,0.0,0.9745541343902002,0.0011452025535206925,4.252348251356647e-05,53,-0.0033204984894586106,0.3993511226464946,0.396030624157036,0.02,False,54,65,1.029088833740758e-06,66,5761998,1,87303,0.11958995810709894,0.11065829452127218,0.003676125081256032,0.00048745819367468357,0.0005499999970197678,1.5954763340611156e-15,0.000708332983776927,17,9.759090605382767e-12,222232576,STATIC_INFLUENCE_PREFIX,10,0.7,87303,12471,0.0,0,0.0,0.0
seed_0_initial,8,8,0,99774,0.7999967927644767,cd153b427db1d048227c3595d9a35f7ae6323512342d2e0dc18c112b64a8c941,13,13,True,0.0,0.9868139700641483,0.0008747357084246191,2.7925520542853438e-05,53,-0.0032338198893941718,0.31536919252774437,0.3121353726383502,0.02,False,57,67,2.3713843833464768e-06,68,6784632,1,99774,0.1457138331606984,0.1341409154701978,0.004107624990865588,0.000467000063508749,0.000604500062763691,1.7240180175622643e-15,0.0007129588630050421,17,9.126214287531692e-12,222232576,STATIC_INFLUENCE_PREFIX,11,0.8,99774,12472,0.0,0,0.0,0.0
seed_0_initial,8,8,0,112246,0.8999983963822383,1f540b5c8e3d3bae7ee48e19cfa8118e6d983de6c0fbf7fad0dd0e60df9941fa,13,13,True,0.0,0.9971313433537241,0.0004666621571973919,2.51946348041078e-05,53,-0.003181564796253599,0.19551079299000798,0.1923292281937544,0.02,False,53,64,1.533973527447852e-06,65,7295990,1,112246,0.146708375075832,0.13738653878681362,0.002753790933638811,0.00048287492245435715,0.0005510419141501188,1.7621232208454236e-15,0.0007069159764796495,17,7.806917549101856e-12,222232576,STATIC_INFLUENCE_PREFIX,12,0.9,112246,6236,0.0,0,0.0,0.0
seed_0_initial,8,8,0,118482,0.9499991981911191,40a4942b110737b86d5b9913f36ddfeeb03e4a19f1e9a162827f3bf6decdcfac,13,13,True,0.0,0.999426268670745,0.00024014449207651264,2.427696383504492e-05,53,-0.0031450260758686295,0.11107819642902761,0.10793317035315898,0.02,False,35,45,3.754408121588518e-07,46,5450172,1,118482,0.10723808384500444,0.10020570666529238,0.0027928748168051243,0.00041983299888670444,0.0006641249638050795,1.5202842416235516e-15,0.0007590418681502342,17,6.08232873804766e-12,222232576,STATIC_INFLUENCE_PREFIX,13,0.95,118482,6236,0.0,0,0.0,0.0
seed_0_initial,8,8,0,124718,1.0,ca96c2892ddecebe17eb0a20a124f0297c1191176707496b601d06e3549d4da7,13,13,True,0.0,1.0,2.8746880778585115e-09,1.4855751177822452e-10,5,-0.00018876032575742413,0.0,-0.00018876032575742413,0.02,True,27,38,1.9165447023850035e-07,39,4864002,1,124718,0.09696812508627772,0.09027812210842967,0.0028151250444352627,0.00039820815436542034,0.0005361251533031464,1.4867809768220552e-15,0.0,0,0.0,222232576,STATIC_INFLUENCE_PREFIX,14,1.0,124718,0,0.0,0,0.0,0.0
seed_0_initial,8,8,0,0,0.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,12,13,False,0.0015692658630459579,0.4378274968082524,0.003423985142500016,0.001348120459082244,77,-0.0017863233459335243,1.9592268652959322,1.9574405419499987,0.02,False,0,0,0.0,0,0,0,0,4.516681656241417e-05,0.0,0.0,0.0,0.0,0.0,0.0007227500900626183,17,6.4170480979571015e-12,222232576,RERANKED_FINE_PATH,0,0.0,0,1247,0.0007073329761624336,17,6.586460285643116e-12,9.670042544485113e-13
seed_0_initial,8,8,0,1247,0.009998556744014496,5e3056b094911985dea243363e17049b138bc25761fd0aa7395271d9fab1a2cf,12,13,False,0.0015692658630459579,0.6012237323200088,0.0032859845107639264,0.0012984052664932345,68,-0.0015107016537749644,1.347897544107791,1.346386842454016,0.02,False,81,92,1.0429990275452952e-06,93,115971,1,1247,0.009320375043898821,0.0032028299756348133,0.00017787492834031582,0.000521667068824172,0.0006066248752176762,1.4904527545231376e-15,0.0006619170308113098,17,6.411745965577185e-12,222232576,RERANKED_FINE_PATH,1,0.01,1247,1247,0.0006409580819308758,17,8.054947093414642e-12,3.204103649068202e-13
seed_0_initial,8,8,0,2494,0.019997113488028993,7504bf17cbb0ab4a198734c2a3eb5ea468b2ee47e6d56466f6df514c77f60474,12,13,False,0.0015692658630459579,0.7287308201420818,0.0032295559145609047,0.0012786643553011866,31,-0.0016366315387304868,1.3308180070853282,1.3291813755465978,0.02,False,79,90,4.5145547151364054e-07,91,226954,1,2494,0.01081162504851818,0.005081005860120058,0.0001585839781910181,0.00043458398431539536,0.0005532910581678152,1.4502915417813624e-15,0.0006555831059813499,17,6.349854628433045e-12,222232576,RERANKED_FINE_PATH,2,0.02,2494,3742,0.0006457499694079161,17,6.863704245452782e-12,1.4344081478157023e-13
seed_0_initial,8,8,0,6236,0.050000801808880835,e744ddc96b1a835ead99466a3fdf4954e9bd2a746c99c824a49603b07c1776c5,11,13,False,0.0011425637335095683,0.8112756808408984,0.0031183798364630803,0.001229407061559355,135,-0.0014973237975632048,1.6473019739384953,1.6458046501409318,0.02,False,80,90,3.536431701194054e-07,91,567476,1,6236,0.018636041088029742,0.012272961204871535,0.0002836671192198992,0.0004072498995810747,0.000557249877601862,1.5011239986317895e-15,0.0007353750988841057,17,6.434130860319734e-12,222232576,RERANKED_FINE_PATH,3,0.05,6236,6236,0.000668541993945837,17,6.58894631842419e-12,3.2518432391270835e-12
seed_0_initial,8,8,0,12472,0.10000160361776167,772fc1a7991ef5e6aea907d9a0545308f41d594f29eb4dcbbab64957a5f43071,5,13,False,0.0001887569097884581,0.8559777713377145,0.002922748663125696,0.0011123675567253025,103,-0.003558804220222214,1.1751412233439034,1.171582419123681,0.02,False,67,77,2.6885258526026037e-06,78,972816,1,12472,0.026101625058799982,0.02003157837316394,0.00039662490598857403,0.00040008313953876495,0.0005648329388350248,1.6109804098631799e-15,0.0007034579757601023,17,6.534843031977518e-12,222232576,RERANKED_FINE_PATH,4,0.1,12472,12472,0.0006561251357197762,17,4.815487886953632e-12,2.5293100947010316e-12
