state,observation_count,requested_fraction,active_factor_count,active_factor_fraction,replicate,base_seed,state_index,fraction_index,subset_sha256,active_laplace_leader,full_shadow_leader,action_agreement,full_laplace_ei_regret,active_full_ei_spearman,maximum_absolute_ei_difference,median_absolute_ei_difference,map_iterations,map_gradient_infinity_norm,factor_energy_gradient_work,factor_hessian_work,single_active_fit_conditioning_seconds,peak_rss_bytes,authorized_target_rows_read,unauthorized_later_target_rows_read
seed_0_initial,8,0.2,24944,0.20000320723552334,4,20260823,0,1,0682df39ed4c8533a26f6f7980ac26cb402d5548080640234f1cb0efa5eb2d26,12,13,False,0.0015692658630459579,0.9696646902634075,0.0028104222710103634,0.001005934898112194,68,7.110353287133331e-06,1995520,24944,0.044797333888709545,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,5,20260823,0,1,8c4364cbe13953856024c31cdf775eea966fed165e58605985a3a519a0992d33,12,13,False,0.0015692658630459579,0.9679474125304489,0.0029228826017879267,0.0010006999871882243,71,5.280497341157708e-07,2020464,24944,0.04399479110725224,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,6,20260823,0,1,d6193146a30767c7444f128055eeef5db34e8cb74856bcd3fea4dfab853a29c8,12,13,False,0.0015692658630459579,0.9698879167874181,0.0027988784149989253,0.0010121121957110228,71,1.7802037069990229e-06,2120240,24944,0.04635820887051523,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,7,20260823,0,1,d1bd462c143316b6c3ea14af68f25622c295e4afa04e94f2f24e908cc9244a8b,12,13,False,0.0015692658630459579,0.9722337534169325,0.0028597458523294296,0.0010390987499725272,73,4.192165078019047e-07,2220016,24944,0.04822362493723631,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,8,20260823,0,1,d7b0e77243ac3d1671ed36a95b8624c56badf4450fabd69c302229757c935a50,12,13,False,0.0015692658630459579,0.9694512543764148,0.002820199557258131,0.0010231363400968804,78,4.437402162972559e-07,2220016,24944,0.04863916616886854,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,9,20260823,0,1,e8887330cdcb1a8516350c548f37ed72df4898226e7d0d274ad63001372f2bf9,12,13,False,0.0015692658630459579,0.9681823878188811,0.0027956710428477284,0.001008657891949545,70,3.0060508336704483e-07,2095296,24944,0.05066883307881653,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,10,20260823,0,1,53653226dd2f9f47a167f5504842557f0c19a33b7062babe730d6f615acebbcc,12,13,False,0.0015692658630459579,0.9655545808432482,0.002891263046391243,0.0010109330091729023,77,1.5413590582005754e-06,2170128,24944,0.057294624857604504,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,11,20260823,0,1,8f68a35e50a1dc3e7024905a56d25817c2f8e49dbe037dded2cac621f78483a1,12,13,False,0.0015692658630459579,0.9689734712899362,0.0027998474451112858,0.001030920918140714,83,6.622753897962685e-07,2344736,24944,0.05469070887193084,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,12,20260823,0,1,95a7db1a3261e6cb89dd79a98536c63012385976700c14bf7ceb16f9f5eaf223,12,13,False,0.0015692658630459579,0.9706417958378044,0.0028035702177361503,0.0010334784672418936,84,3.2666345875544123e-06,2394624,24944,0.05770229105837643,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,13,20260823,0,1,52fdef9b4cfd686aa5672943862a69c1e6bbc2ae98c03b58715a5905119003df,12,13,False,0.0015692658630459579,0.9665493095642776,0.0028002187588210374,0.0010127948318155756,72,1.6736715286562454e-06,2070352,24944,0.04884404200129211,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,14,20260823,0,1,ee4459ba51fb502d35be7e19a3962ba030ef43c2c9923621140615982cfebee4,12,13,False,0.0015692658630459579,0.969809591691274,0.002817841726232128,0.001026952750482658,71,1.5232578032715882e-06,2020464,24944,0.046894125174731016,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,15,20260823,0,1,97557e24e3fb8f71ecc3de1ed7929c591b49a8575779a29e1e5cf94ab59fadfb,12,13,False,0.0015692658630459579,0.9679102081097807,0.0028133495445258824,0.0010198847110023026,83,7.491346268248544e-07,2319792,24944,0.054856374859809875,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,16,20260823,0,1,c36f53dcad216fa61674a142e9f4791ba247e5a052bde866893846f504cf6fd3,12,13,False,0.0015692658630459579,0.9681275602515804,0.002816584353964407,0.0009978869907085602,85,4.298170846638721e-06,2394624,24944,0.054674583952873945,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,17,20260823,0,1,5c631976a3615568eb182ddc62fdf96be40530510d0115a7de80a4fb2ee08b00,12,13,False,0.0015692658630459579,0.9718754161020734,0.0027777676451148647,0.0010119446430254773,75,2.663301501788784e-06,2244960,24944,0.04908712487667799,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,18,20260823,0,1,52f41080bc614f9bdf06059bb2472602451906fe607508dfcef1197a4cda6691,12,13,False,0.0015692658630459579,0.9742662896618708,0.002833709458450861,0.0010296961723188676,77,4.6626796802728965e-07,2220016,24944,0.04887562501244247,222232576,8,0
seed_0_initial,8,0.2,24944,0.20000320723552334,19,20260823,0,1,4ca8f62f57acddb80ccc4d25fd863aec3ed2b1ee1ca2d0adc67be23025329ba3,12,13,False,0.0015692658630459579,0.9673501836723507,0.002833775525862444,0.0010035290728435675,73,9.856275027045336e-07,2095296,24944,0.04632258298806846,222232576,8,0
seed_0_initial,8,0.4,49887,0.39999839638223833,0,20260823,0,2,d14d1f3716a646d8af4cc57b7aa229a539792b8cc050128727810e4e79acb412,11,13,False,0.0011425637335095683,0.9879066051553581,0.002312231898593628,0.0007047760422390168,65,6.618035436889436e-07,3591864,49887,0.07119916682131588,222232576,8,0
seed_0_initial,8,0.4,49887,0.39999839638223833,1,20260823,0,2,b4e33cd06c4fcd25b282692a0fac938ac5cc74b55268156ad125c521a4bd5795,11,13,False,0.0011425637335095683,0.9896591291815812,0.0022191305570381757,0.0007140691299006036,70,1.3694724770516031e-06,4040847,49887,0.07940179202705622,222232576,8,0
seed_0_initial,8,0.4,49887,0.39999839638223833,2,20260823,0,2,b71fad48fd55488fd40835263aead069ca7a4a66b3b014cebf7135076a18a118,12,13,False,0.0015692658630459579,0.9874209895592649,0.0022785151211871142,0.0007313303905508196,88,1.4727026713678981e-06,4888926,49887,0.09457995882257819,222232576,8,0
seed_0_initial,8,0.4,49887,0.39999839638223833,3,20260823,0,2,04e39a20a763ce6629d836613b61a977f17039c0d3d6b395efdc59eb8aee7b62,11,13,False,0.0011425637335095683,0.9890677747056936,0.002206056401497059,0.0007195936166548671,75,5.649349954714444e-07,4439943,49887,0.0861056661233306,222232576,8,0
seed_0_initial,8,0.4,49887,0.39999839638223833,4,20260823,0,2,f4a7f6f16a16294de55304b61473949b780cf5690d4b2786d8b3616a34c116a4,12,13,False,0.0015692658630459579,0.9896767523282137,0.002210424580891098,0.0007150131725985279,62,1.4777296317020072e-06,3392316,49887,0.06694137491285801,222232576,8,0
seed_0_initial,8,0.4,49887,0.39999839638223833,5,20260823,0,2,fcb5092079ef303da551549b43cde06d29b80f3bcd51178c6dac5037659732dc,12,13,False,0.0015692658630459579,0.9894515676767994,0.0022161778759029367,0.0007091915070573593,72,8.03899067383651e-07,4190508,49887,0.08199720806442201,222232576,8,0
seed_0_initial,8,0.4,49887,0.39999839638223833,6,20260823,0,2,9459dab2d70f9fe5470260af2b4715adcac106c07b10779af2ae3c9e2b5ed181,12,13,False,0.0015692658630459579,0.9891167278907836,0.0022570398886702855,0.0007122791457589046,80,1.4936323097097803e-06,4489830,49887,0.09273508400656283,222232576,8,0
seed_0_initial,8,0.4,49887,0.39999839638223833,7,20260823,0,2,435a1e4aaeec9e9003cdc9a000cb7dd2e356c43c88b6946613979a8c17f62319,12,13,False,0.0015692658630459579,0.9884352995543303,0.0021995845786814995,0.0007097838017859088,83,1.000685202826035e-06,4689378,49887,0.0948088332079351,222232576,8,0
seed_0_initial,8,0.4,49887,0.39999839638223833,8,20260823,0,2,9e7142a69eb41d53af7aa863c3aa04be5c3f55be1e6611b1ea9c2ff39df4b1be,12,13,False,0.0015692658630459579,0.9891186860181871,0.0021785490747291206,0.000735719734122375,73,1.936548139874761e-06,4090734,49887,0.081827542046085,222232576,8,0
seed_0_initial,8,0.4,49887,0.39999839638223833,9,20260823,0,2,bb30f3bb7721b028778132bac6ecb82d714df92971c17cd058aaeaebea323848,12,13,False,0.0015692658630459579,0.9878341544414247,0.0022834259323849387,0.0007082812932101955,96,7.848437307278466e-07,5238135,49887,0.10133979213424027,222232576,8,0
seed_0_initial,8,0.4,49887,0.39999839638223833,10,20260823,0,2,543791ac54a394c6bb483850f8bfc9a069c47b19ebd2cc108f01f765359fc3c0,12,13,False,0.0015692658630459579,0.9884881689942276,0.002223049611713105,0.0007048720520702462,72,2.7419179388088466e-07,3941073,49887,0.07727504195645452,222232576,8,0
