action_position_x,action_position_xhat,action_key_x,action_key_xhat,node_x,node_xhat,total_structural_influence,highest_influence_factor_index,highest_influence_factor_graph_distance,factors_for_90_percent,factor_fraction_for_90_percent,factor_set_sha256_for_90_percent,factors_for_95_percent,factor_fraction_for_95_percent,factor_set_sha256_for_95_percent,factors_for_99_percent,factor_fraction_for_99_percent,factor_set_sha256_for_99_percent
0,45,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000011201,48,511,6.151232240805682,31,0,452,0.2688875669244497,4d6c067cdb8e5555ec478e7a39918fea94ec6bab922802c8583d0981d039c03c,852,0.5068411659726353,f594b514e0e26cbefa8bcd5c0dac5808bf529c8f9fc33fc0ae60abb03c93f1e3,1411,0.8393813206424747,3b186a5976303f0d83539f57af9429ba3918aeb431aa17b7120cab0f6a7720ae
0,46,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289999,48,513,6.330210596606543,31,0,474,0.2819750148720999,60828a4852a1b5beb46fd229c7cf31da345d9707bd9080b5f121d5f28f0168a8,887,0.5276621058893516,7b9cf13296ed90aac27498a323f514b501e4236bd1c6b9587d2e54c8316a7cf8,1446,0.8602022605591909,096f806d3d9ec548133986cae591c92a5479e88feb96277f52893fe83b34d86b
0,47,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000290087,48,514,6.286644963225792,31,0,509,0.30279595478881616,6bf60a58cafbc8f54f07a2e48b77b380c13be7d5fe62b3c7983c6e5a4b8e419c,916,0.544913741820345,91c3c9598a51fe17319d934fbb6c76519a183e55d18e2c9bbfcdd69dc0e10bec,1445,0.8596073765615705,e9eb735928ee785174fb40f9e5417c2c9687a19a7f750d73cc34f57cf6846940
0,48,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289757,48,519,5.536753910975699,31,0,525,0.3123140987507436,8e7d1eee42d7e4286f867da1705245af7097f2d706e8927d5cba194f86fe3f45,928,0.5520523497917906,304638c515e2008ce274a54a5c08588d7ae093e4d3b4afc4ea0a312f98d7b4af,1460,0.8685306365258775,9f2b7f890d7cecfa466e8c8c67329dcb99b69af9408c4d6b57fb195c0574ca97
0,49,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000010042,48,559,6.24037677700243,31,0,547,0.32540154669839383,6317ddefbc210370216887ad748ee536731724a2bd4e8e22d0b41e2f65d8083c,963,0.5728732897085068,5acbd040b618bb18df6744da68c3e184c1aa8230db052e7cf7ca808dec549f4f,1475,0.8774538964901845,d17a7ca894d3a9412e9f73db56c9c36e839049559e7c0d5156be91717ca0a3cf
0,50,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289749,48,566,5.382539686975998,31,0,548,0.32599643069601425,4b258eda2aaf6fdfa1dcc27cf3e3d5f5eea7579e16cf49ac18b0ea4b885fd05d,954,0.5675193337299227,4e56f4d1934bf2d7fef2aaf2db9c5bff35d788af083845443c50c8b3d7f6d183,1474,0.8768590124925639,32056276cbc21b501a82829acb5d53e81341b37ee876e7ed76d478f3b592d70d
0,51,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289780,48,567,6.361317734486365,31,0,541,0.321832242712671,d7bda40f7467c9445e9225031f26fd5a9164c0cfb9eaf3adcfafc81aedb110e3,956,0.5687091017251636,1d3e58d83e4f5d2e6d1d498e1b09c9a87f0f5554f278e68698015c2c72894002,1475,0.8774538964901845,ffba04afbc509ab9da7666b1f53f3df34982ac6cca7209ac30867bff426c11c5
0,52,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289740,48,580,5.466402440862249,31,0,558,0.3319452706722189,af495178effa032d94cfb220fe8e4b58a45add5f8be0cc4f78723dc4425c92e2,954,0.5675193337299227,cc7d1366e5d9f5a6af847c8f983b90af44a887449aa8037e79080f4bb2ba0797,1471,0.8750743604997026,6e89e7d34261b06c24429f8d5349da3e450b02b4601ed31fd7dca462f515705f
0,53,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289794,48,601,4.896069845413406,31,0,676,0.40214158239143366,64983c397f39097977a21e1d9e1d86aede3663582f5a2ae205c5e16344e6e73b,1056,0.62819750148721,1f75e0c79dde9d2a7d84bed8ede51b6af34d56d3196b4a696e4e2fb05c5e0c63,1501,0.8929208804283165,5c304d7b022d87491976a9efb9edfd19ffe6085400833452bf981398bba8fa90
0,54,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289808,48,614,5.582503668376852,31,0,541,0.321832242712671,42efdbf0bbed626581ca7488c83a7b499663162b96dacabb9c6929ca706f86fe,941,0.5597858417608567,54a0c643a58fb54145ebf3961f44f3e81d8d82aab14e092d5709f48a3444b173,1467,0.8726948245092208,bfdd6132c2bf32927b54a526609becfdae80cb313b570de1a0e3f490baa110e5
