converged,dataset,final_best,final_regret,fit_seconds,global_best,initial_best,model,record_type,regret_auc,seed,steps,top1_hit,top5_hit
True,creilov,4.185906374,0.6223727214896867,6.097415779999665,4.273760742,4.132600365,S2,sequential,0.6916199772856598,6,32,True,True
True,creilov,4.165834345,0.8103928449076071,1.860875642999872,4.273760742,4.140582867,S0,sequential,0.8197244885364758,7,32,True,True
True,creilov,4.178700884,0.7137811592203263,1.3203914499977145,4.273760742,4.140582867,S1,sequential,0.7873732438899845,7,32,True,True
True,creilov,4.210703621,0.47348045611930495,7.465734090999831,4.273760742,4.140582867,S2,sequential,0.7069108307216934,7,32,True,True
True,creilov,4.178700884,0.5315305143759198,1.850348217998544,4.273760742,4.094918972,S0,sequential,0.6392420806182479,8,32,True,True
True,creilov,4.163220853,0.6180876480925009,1.295867298999383,4.273760742,4.094918972,S1,sequential,0.7081791759099418,8,32,True,True
True,creilov,4.159094981,0.6411576054072846,6.786545333999584,4.273760742,4.094918972,S2,sequential,0.6772421811225942,8,32,True,True
True,creilov,4.17156676,0.7313736484741235,2.0420516170015617,4.273760742,4.134031915,S0,sequential,0.7979738042216918,9,32,True,True
True,creilov,4.170486347,0.7391058610976531,1.3153619400036405,4.273760742,4.134031915,S1,sequential,0.8207144149288527,9,32,True,True
True,creilov,4.16960659,0.7454020350432046,9.077087008000944,4.273760742,4.134031915,S2,sequential,0.7818115594760182,9,32,True,True
