candidate_count,constant_high_utility_nll,converged,coverage_50,coverage_80,coverage_90,coverage_95,crps,dataset,finite,fit_evaluations,fit_iterations,fit_message,fit_seconds,high_utility_count,high_utility_nll,interval_calibration_error,model,n,nll,objective,one_step_regret,record_type,rmse,seed,selected_test_index,selected_top_decile,spearman,top10_recall
111835,1.7870092360531287,True,0.7986409155937053,0.8629291845493562,0.8770565092989986,0.8862660944206009,0.055134579823568626,trpb,True,17,14,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.7466150440000092,11184,1.6261597970828499,0.11206187410586549,S0,48,-0.49022490163592464,1.4500022435063236,1.2262792322880818,offline,0.1444641370037427,4,12840,True,0.3591731867940405,0.23462088406085968
111835,2.188959626043335,True,0.7541130185979972,0.8374463519313304,0.8549713876967096,0.8649856938483548,0.054683823639164617,trpb,True,13,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.07344749899993985,11184,2.0381579363657263,0.1054005722460658,S1,48,-0.48753351152429236,1.4591771947220114,1.6124646500111852,offline,0.143657516967016,4,23180,False,0.377053547291174,0.27700287103652954
111835,2.6119523234368174,True,0.41282188841201717,0.8154506437768241,0.8504113018597997,0.8639127324749643,0.054774227605560145,trpb,True,23,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.1730860580000808,11184,2.011801664172182,0.059576180257510714,S2,48,-0.5113718372627027,1.6649909165064563,1.3397092596398357,offline,0.13821501981567355,4,52575,True,0.35235598886935504,0.31071174144744873
111787,1.2149506927032665,True,0.7502459969585831,0.852580731729135,0.8673405492441184,0.8769120672689865,0.06166960414339379,trpb,True,19,17,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.10906306399965615,11179,1.0874731408213192,0.10214352804365326,S0,96,-0.5127232502934743,1.4365019114666702,1.0717446495575602,offline,0.14420117091920515,4,34611,True,0.40709127219281965,0.3061096668243408
111787,1.3976149935478406,True,0.40611861526075677,0.8443510152965381,0.861078808480186,0.8707397799445389,0.06015111749424507,trpb,True,12,11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.05797288700023273,11179,1.2531980499538742,0.06410345290276409,S1,96,-0.5305276673881325,1.4333782385096054,1.6239201835224921,offline,0.13970383934216704,4,39327,False,0.328215207328748,0.3347347676753998
111787,1.5128527319921135,True,0.12970748725288486,0.4185526433491368,0.631988549959746,0.7402272117362912,0.062234426957708,trpb,True,27,24,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.20904712999981712,11179,1.9423043172841532,0.3073810269254853,S2,96,-0.4962907470234106,1.4986598431489968,0.871613637656594,offline,0.1402238676084263,4,74639,True,0.31223944698393324,0.3373289108276367
111691,1.9702157012788817,True,0.3574753804834378,0.7924798567591763,0.8268576544315129,0.8421665174574754,0.05859277435881377,trpb,True,19,15,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.10502379699983067,11170,1.644586975195723,0.0827551477170994,S0,192,-0.5602477657598623,1.411263073871295,0.9704611403658844,offline,0.13639799182202725,4,44429,True,0.41380318729623083,0.38683974742889404
111691,1.9675332541658166,True,0.25120859444941807,0.7463742166517457,0.8281110116383169,0.8478066248880931,0.05868191708258766,trpb,True,11,10,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.05517407800016372,11170,1.7163582650236548,0.11912488809310655,S1,192,-0.5642630130519778,1.3935448774854922,2.134449082200007,offline,0.13500911887788444,4,39231,False,0.3568743901338581,0.3971351981163025
111691,2.1138176085671896,True,0.17162041181736795,0.4948075201432408,0.701521933751119,0.7828111011638317,0.05790485890372102,trpb,True,40,34,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.299793149999914,11170,1.9180914751290683,0.24980975828111013,S2,192,-0.59769491044736,1.416651689169044,1.054780173907537,offline,0.13090111557042647,4,39020,True,0.3714089441745093,0.42972245812416077
111835,1.5198880251338263,True,0.6310801144492132,0.8328862660944206,0.8619456366237482,0.8762517882689557,0.05150176528221145,trpb,True,15,10,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.7933066430000508,11184,1.3272503457791374,0.06894223891273246,S0,48,-0.38349352959357386,1.4488240881487777,0.5541764472628841,offline,0.14433132944006072,5,68168,True,0.396232272046908,0.29881975054740906
