seed,method,phase,initial_order,query_index,action_position,action_key,node_index,gw_band_gap_ev,standardized_observation,best_observed_gw_ev,simple_regret_ev
3,NO_PBE,initial,1,0,44,current-nlr-pbe-gw-v1:gw:matdb:000011802,510,4.321,-0.186495316339244,,
3,NO_PBE,initial,2,0,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,1971,9.956,1.453615659191991,,
3,NO_PBE,initial,3,0,151,current-nlr-pbe-gw-v1:gw:matdb:000290117,1765,5.717,0.21982143997692355,,
3,NO_PBE,initial,4,0,34,current-nlr-pbe-gw-v1:gw:matdb:000289708,500,2.366,-0.7555134098908969,,
3,NO_PBE,initial,5,0,33,current-nlr-pbe-gw-v1:gw:matdb:000289702,499,2.156,-0.8166355580473404,,
3,NO_PBE,initial,6,0,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,203,10.349,1.56800139359905,,
3,NO_PBE,initial,7,0,111,current-nlr-pbe-gw-v1:gw:matdb:000009877,1092,2.194,-0.8055753598095079,,
3,NO_PBE,initial,8,0,149,current-nlr-pbe-gw-v1:gw:matdb:000011568,1649,2.635,-0.6772188486809765,,
3,FULL_PBE,initial,1,0,44,current-nlr-pbe-gw-v1:gw:matdb:000011802,510,4.321,-0.186495316339244,,
3,FULL_PBE,initial,2,0,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,1971,9.956,1.453615659191991,,
3,FULL_PBE,initial,3,0,151,current-nlr-pbe-gw-v1:gw:matdb:000290117,1765,5.717,0.21982143997692355,,
3,FULL_PBE,initial,4,0,34,current-nlr-pbe-gw-v1:gw:matdb:000289708,500,2.366,-0.7555134098908969,,
3,FULL_PBE,initial,5,0,33,current-nlr-pbe-gw-v1:gw:matdb:000289702,499,2.156,-0.8166355580473404,,
3,FULL_PBE,initial,6,0,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,203,10.349,1.56800139359905,,
3,FULL_PBE,initial,7,0,111,current-nlr-pbe-gw-v1:gw:matdb:000009877,1092,2.194,-0.8055753598095079,,
3,FULL_PBE,initial,8,0,149,current-nlr-pbe-gw-v1:gw:matdb:000011568,1649,2.635,-0.6772188486809765,,
3,NO_PBE,sequential,,1,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,143,9.753,1.394530915974096,10.349,0.0
3,NO_PBE,sequential,,2,117,current-nlr-pbe-gw-v1:gw:matdb:000010399,1189,4.684,-0.08084131738310574,10.349,0.0
3,NO_PBE,sequential,,3,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,138,5.645,0.1988652748947143,10.349,0.0
3,NO_PBE,sequential,,4,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,133,6.157,0.3478868932570911,10.349,0.0
3,NO_PBE,sequential,,5,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,730,3.015,-0.56661686630265,10.349,0.0
3,NO_PBE,sequential,,6,14,current-nlr-pbe-gw-v1:gw:matdb:000009613,148,7.554,0.7544947074216227,10.349,0.0
3,NO_PBE,sequential,,7,8,current-nlr-pbe-gw-v1:gw:matdb:000009995,125,2.291,-0.7773427485181982,10.349,0.0
3,NO_PBE,sequential,,8,7,current-nlr-pbe-gw-v1:gw:matdb:000009577,122,6.24,0.3720446946713046,10.349,0.0
3,NO_PBE,sequential,,9,9,current-nlr-pbe-gw-v1:gw:matdb:000289592,126,4.942,-0.005748392505189379,10.349,0.0
3,NO_PBE,sequential,,10,16,current-nlr-pbe-gw-v1:gw:matdb:000289615,211,5.092,0.037910284749413,10.349,0.0
3,NO_PBE,sequential,,11,6,current-nlr-pbe-gw-v1:gw:matdb:000009985,120,5.716,0.2195303821285597,10.349,0.0
3,NO_PBE,sequential,,12,67,current-nlr-pbe-gw-v1:gw:matdb:000290178,705,5.46,0.1450195729473713,10.349,0.0
3,FULL_PBE,sequential,,1,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,143,9.753,1.394530915974096,10.349,0.0
3,FULL_PBE,sequential,,2,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,89,10.14,1.5071703032909705,10.349,0.0
3,FULL_PBE,sequential,,3,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,709,7.794,0.8243485910289866,10.349,0.0
3,FULL_PBE,sequential,,4,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,1554,8.131,0.9224350859276605,10.349,0.0
3,FULL_PBE,sequential,,5,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,816,4.269,-0.20163032445417275,10.349,0.0
