count,dimension,median,posterior,q25,q75,seed,top2_relevance_probability
19,7,5.2676239013671875,reused,3.212671995162964,9.975586891174316,2,0.01371462156406332
19,8,6.188542366027832,reused,2.9619972705841064,14.244891166687012,2,0.02844048475517604
19,9,7.087257385253906,reused,4.464206218719482,11.356182098388672,2,0.004859045272154589
19,0,0.6113779544830322,fresh,0.44542226195335394,0.7533388137817384,2,0.9843750000000001
19,1,0.9854943752288818,fresh,0.6954154968261719,1.3327466249465942,2,0.9218750000000001
19,2,6.456211566925049,fresh,3.7298591136932373,13.512595176696777,2,0.011718750000000003
19,3,6.343860626220703,fresh,4.10219144821167,12.492281913757324,2,0.003906250000000001
19,4,6.8930983543396,fresh,3.9876480102539062,13.024155616760254,2,0.0
19,5,6.101830959320068,fresh,3.496415853500366,10.903030395507812,2,0.007812500000000002
19,6,6.708820819854735,fresh,3.66561222076416,10.725972175598145,2,0.023437500000000003
19,7,5.093644142150879,fresh,3.1544442176818848,9.85501480102539,2,0.015625000000000003
19,8,4.7264814376831055,fresh,2.8382084369659424,9.009167671203613,2,0.03125000000000001
19,9,7.852627754211426,fresh,4.627534866333008,14.030533790588379,2,0.0
20,0,0.5434785485267639,reused,0.4863390326499939,0.6566667556762695,2,0.9873405856458548
20,1,0.9146524667739868,reused,0.7302165031433105,1.1387907266616821,2,0.963399924195674
20,2,7.835520267486572,reused,4.681332588195801,12.39204216003418,2,0.005047898631682258
20,3,6.963033199310303,reused,3.946782350540161,11.952274322509764,2,0.00212652680627866
20,4,8.111639976501465,reused,4.578824520111084,11.903755187988281,2,0.0023725425473742063
20,5,6.555297374725342,reused,4.233025074005127,9.961814880371094,2,0.010343250472703163
20,6,7.464423656463623,reused,4.57519006729126,13.605081558227539,2,0.007862848088019745
20,7,5.661669731140137,reused,3.5790202617645264,11.199694633483887,2,0.006906197087337799
20,8,6.785538673400879,reused,3.3385541439056396,14.884678840637207,2,0.011581236478851944
20,9,7.925971031188965,reused,5.2215495109558105,11.356182098388672,2,0.0030189900462227566
20,0,0.5838708877563477,fresh,0.4843824505805969,0.7089978456497192,2,0.9960937500000001
20,1,0.9776129126548767,fresh,0.7467815279960633,1.3120827674865723,2,0.9804687500000001
20,2,8.642048835754395,fresh,4.404383659362793,15.51025104522705,2,0.0
20,3,8.500596046447754,fresh,5.169223785400391,14.977601051330566,2,0.003906250000000001
20,4,10.199749946594238,fresh,5.463540554046631,17.823375701904297,2,0.0
20,5,8.2907075881958,fresh,4.652247428894043,13.874863624572754,2,0.0
20,6,8.213189125061035,fresh,5.154503345489502,14.846988677978516,2,0.0
20,7,7.241547107696533,fresh,4.267292022705078,13.85327434539795,2,0.007812500000000002
20,8,6.485406875610352,fresh,3.9103400707244873,12.760239601135254,2,0.011718750000000003
20,9,10.053826332092285,fresh,5.778389930725098,19.137771606445312,2,0.0
24,0,0.5434785485267639,reused,0.5051774382591248,0.5951690673828125,2,0.9998336774057723
24,1,0.8906867504119873,reused,0.796726644039154,0.9852016568183899,2,0.9991059924181618
24,2,10.183213233947754,reused,6.304017066955566,19.703060150146484,2,6.22645908134082e-05
24,3,8.485186576843262,reused,5.796198844909668,19.61571502685547,2,1.4806079235558114e-05
24,4,10.246253967285156,reused,5.550743579864502,12.272931098937988,2,3.730031393610607e-05
24,5,9.11699104309082,reused,5.783973693847656,10.714115142822266,2,0.00014942268454632015
24,6,10.437999725341797,reused,6.981528282165527,18.42089080810547,2,0.00032661721159838434
24,7,9.333902359008789,reused,5.5163445472717285,11.199694633483887,2,0.0001594839299892736
24,8,13.910636901855469,reused,4.513801097869873,14.884678840637207,2,0.00024507080008186844
24,9,10.273932456970215,reused,6.627690315246582,19.73503875732422,2,6.536456586478826e-05
24,0,0.6046628952026367,fresh,0.5220825672149658,0.7309187650680542,2,1.0000000000000002
24,1,1.0565932989120483,fresh,0.8571584224700928,1.3106393814086914,2,1.0000000000000002
24,2,14.5804443359375,fresh,8.01634407043457,26.40050315856591,2,0.0
24,3,12.538890838623047,fresh,7.517549514770508,25.20673561095062,2,0.0
24,4,15.070716857910156,fresh,7.532745838165283,28.390783309936054,2,0.0
24,5,12.120583534240723,fresh,7.197536468505859,22.183425903088114,2,0.0
24,6,14.55648422241211,fresh,8.055859565734863,27.631700515746072,2,0.0
24,7,13.061677932739258,fresh,7.35690450668335,26.851173400876725,2,0.0
