added_observations,cache_chol_max_abs_error,cache_mean_max_abs_error,cache_variance_max_abs_error,conditional_ess_fraction,count,ess,ess_fraction,full_factorization_seconds,full_factorizations,incremental_log_likelihood_variance,likelihood_seconds,likelihood_updates,marginal_increment_max_abs_error,negative_log_ess_fraction,prediction_seconds,rank_one_appends,rank_one_seconds,seed,sequential_update_seconds,validation_factorizations,validation_seconds
13,1.5211443216145426e-13,9.094947017729282e-13,4.263256414560601e-14,0.1269547607750939,29,4.127383203645416,0.016122590639239907,0.002087012000060895,256,15.434990038214437,0.01208996099990145,3328,5.279332526697544e-12,4.127533845185797,0.031440433999819106,3328,0.016653908999956002,1,0.0028479359999664666,9984,0.007841447000032531
14,1.5211443216145426e-13,1.2505552149377763e-12,4.263256414560601e-14,0.9593608819687685,30,3.212906834314223,0.012550417321539933,0.002087012000060895,256,0.06241886261719419,0.013149521999935132,3584,2.561506562415161e-12,4.378001361244858,0.03446641999983058,3584,0.01806300399994143,1,0.0029691379999121637,10752,0.008057076999989476
15,1.5211443216145426e-13,1.1368683772161603e-12,5.684341886080802e-14,0.9852430956013449,31,2.8562791699775705,0.011157340507724885,0.002087012000060895,256,0.022532452281605497,0.014223226999888539,3840,3.270939075150636e-12,4.495657656187721,0.037603173999855244,3840,0.019587974999922153,1,0.0030723319999879095,11520,0.008929824000006192
16,1.5211443216145426e-13,1.7053025658242404e-12,4.263256414560601e-14,0.9850970054545696,32,2.5752189384960325,0.010059448978500127,0.002087012000060895,256,0.01765910115058097,0.015334544999973332,4096,6.785683126508957e-12,4.599242889319601,0.040730651999865586,4096,0.021093519999908494,1,0.0031611520000751625,12288,0.009058912000000419
17,1.5211443216145426e-13,1.8189894035458565e-12,4.263256414560601e-14,0.9045247412147233,33,1.801180099690647,0.00703585976441659,0.002087012000060895,256,0.18397975769348998,0.016444609000018318,4352,8.755218772193984e-12,4.95673538345716,0.04388631999984227,4352,0.02268746899994767,1,0.00322782900002494,13056,0.009547612000005756
18,1.5211443216145426e-13,2.1600499167107046e-12,1.2079226507921703e-13,0.9927398723180983,34,1.694488685740758,0.006619096428674836,0.002087012000060895,256,0.00847878387240267,0.01753820800001904,4608,9.611422768784905e-12,5.017796409485715,0.04712079599983099,4608,0.02439151699991271,1,0.0033314639999844076,13824,0.0103104350000649
19,1.5211443216145426e-13,1.0231815394945443e-12,1.2079226507921703e-13,0.9955820845619812,35,1.6777587837787795,0.0065537452491358575,0.002087012000060895,256,0.0046469056841071926,0.018708579000076497,4864,1.5276668818842154e-12,5.02771859898554,0.05042414199988343,4864,0.02610069599995768,1,0.0034399400000211244,14592,0.010500238000076934
20,1.5211443216145426e-13,1.3642420526593924e-12,1.2079226507921703e-13,0.914977177687743,36,1.5556317489750286,0.006076686519433706,0.002087012000060895,256,0.20302441652288772,0.019882141000152842,5120,8.751044333621394e-11,5.10329571191613,0.053739930999881835,5120,0.027805309999962446,1,0.0033866040000702924,15360,0.010552383999993253
21,1.638238156242977e-13,2.6147972675971687e-12,1.2079226507921703e-13,0.9849627990128604,37,1.4027903463851823,0.005479649790567118,0.002087012000060895,256,0.020271076567907616,0.021075353000128416,5376,1.2496670365180762e-12,5.206714086895159,0.0579509459998917,5376,0.02958949899993968,1,0.003459745999975894,16128,0.012998071000083655
22,1.638238156242977e-13,3.183231456205249e-12,1.2079226507921703e-13,0.9946015551684927,38,1.3306000970077088,0.005197656628936362,0.002087012000060895,256,0.006599157206297863,0.022350644000198372,5632,1.6786350087727442e-11,5.2595474032486775,0.06230776600000354,5632,0.03146173799996177,1,0.0036411760000873983,16896,0.014452387999995153
23,1.638238156242977e-13,1.7053025658242404e-12,1.0658141036401503e-13,0.9965668900737504,39,1.2849281991857886,0.005019250778069487,0.002087012000060895,256,0.004704397359519465,0.023623772000178178,5888,1.439559582649963e-11,5.294474603813517,0.06658182899991516,5888,0.03332703799992487,1,0.003620756000032088,17664,0.013437645999943015
24,1.638238156242977e-13,1.7337242752546445e-12,8.526512829121202e-14,0.9986239209438915,40,1.284444823525136,0.0050173625918950625,0.002087012000060895,256,0.0011819824093677574,0.02497955800015461,6144,5.924594148609685e-12,5.294850863439568,0.07097476999990704,6144,0.03531309599998167,1,0.003841344999955254,18432,0.014748816000064835
0,0.0,0.0,0.0,1.0,16,255.99999999999994,0.9999999999999998,,,0.0,,,0.0,0.0,,,,2,0.0,,
1,7.716050021144838e-15,4.973799150320701e-14,1.4210854715202004e-14,0.8279313500117831,17,211.95042560301647,0.8279313500117831,0.0025917099999333004,256,0.2165913564003928,0.0009441209999749844,256,1.3322676295501878e-13,0.18882503864794084,0.0023401519999879383,256,0.0012976670000170998,2,0.0027813230000219846,768,0.0060201390000429456
