action_key,composition_key,node_index,normalized_formula
current-nlr-pbe-gw-v1:gw:matdb:000010236,current-nlr-pbe-gw-v1:composition:1d322f57e54423a870f637708518e6a6c35eaff759e03f1a605294ac9f8f0357,919,Cu O
current-nlr-pbe-gw-v1:gw:matdb:000011827,current-nlr-pbe-gw-v1:composition:b5b293df2818c04313ea1605f97c0adf5de344959b55017d9008bb4ea39a4a8f,931,Cu O4 Sb2
current-nlr-pbe-gw-v1:gw:matdb:000010244,current-nlr-pbe-gw-v1:composition:e407429e01b4f19c475f4f97d1790d656eff5ed2c20bb3c493b1c2a62d04fc36,958,Cu2 O
current-nlr-pbe-gw-v1:gw:matdb:000012241,current-nlr-pbe-gw-v1:composition:be128386b55e62723a62d0ef527ed94a01fcedeecc4142c2c35b7e45a71d8273,988,Cu4 O3
current-nlr-pbe-gw-v1:gw:matdb:000012079,current-nlr-pbe-gw-v1:composition:09e93bf4a2525036ace387a2dc7840d15779c413c743b37295455fa983b16c31,1026,Fe Li O2
current-nlr-pbe-gw-v1:gw:matdb:000009856,current-nlr-pbe-gw-v1:composition:38a8774d44e7e1e67e9b9f6c37677a573d03eac891287a66fa2296ddf50aa2b8,1047,Fe O
current-nlr-pbe-gw-v1:gw:matdb:000012176,current-nlr-pbe-gw-v1:composition:bbd76372cf99b7e25b4287e3a456637a8a26d185dcbf40254d64e27f57c02f9d,1072,Fe2 Mg O4
current-nlr-pbe-gw-v1:gw:matdb:000011437,current-nlr-pbe-gw-v1:composition:39b32f8ab8171be564751d059e91152ac2487867e19b2f27d33c82ec6830554f,1074,Fe2 Mn O4
current-nlr-pbe-gw-v1:gw:matdb:000011890,current-nlr-pbe-gw-v1:composition:16057c3caaa38159fec10ed64a78cc8f601c7f4d2137a431e2876d346a8fa7ac,1087,Fe2 Ni O4
current-nlr-pbe-gw-v1:gw:matdb:000010295,current-nlr-pbe-gw-v1:composition:84937305913bcfa31ac846d2ee7466d51e9f6da6d5937dd66b003cc34a109f22,1089,Fe2 O3
current-nlr-pbe-gw-v1:gw:matdb:000009877,current-nlr-pbe-gw-v1:composition:2f5368b04dc2c8d9618755c26279a796c63928344b71614ba78966b96bbc5cad,1092,Fe2 O4 Zn
current-nlr-pbe-gw-v1:gw:matdb:000010334,current-nlr-pbe-gw-v1:composition:b721576214ab474f8b5c6867340375213420300cd15575a8dd6f5735f6b3e263,1147,Ga2 Mg O4
current-nlr-pbe-gw-v1:gw:matdb:000009927,current-nlr-pbe-gw-v1:composition:94894f2df6e0179a966025cfee3288aed464ea528e5256654e8dbfedcc5eea9c,1148,Ga2 Mn O4
current-nlr-pbe-gw-v1:gw:matdb:000010348,current-nlr-pbe-gw-v1:composition:1367b243719419b65b13aefc7c73028c68a9d5898ef6569e11cbcd9877db47f6,1150,Ga2 Ni O4
current-nlr-pbe-gw-v1:gw:matdb:000010393,current-nlr-pbe-gw-v1:composition:e80a318a7592d966440b34fc114d715a880d0daa52c11ecab50c1cdb1bc3b62f,1157,Ga2 O4 Zn
current-nlr-pbe-gw-v1:gw:matdb:000010518,current-nlr-pbe-gw-v1:composition:2d6443c822c4ca65927d79b94dc5bfd6be04b307667cf78e0a360bfab6179468,1187,Ge Ni2 O4
current-nlr-pbe-gw-v1:gw:matdb:000010399,current-nlr-pbe-gw-v1:composition:9a0e81d93236f722f2c252add9dcee4dad1c8dd63b68c944d058ccf7ad00e70e,1189,Ge O2
current-nlr-pbe-gw-v1:gw:matdb:000289858,current-nlr-pbe-gw-v1:composition:6f3bed2cacf402bc3b8d32bdfd7910be2365859abad717c22c3b3a791606b5e8,1249,Hf O2
current-nlr-pbe-gw-v1:gw:matdb:000289924,current-nlr-pbe-gw-v1:composition:df3181e5959b538f09f4e09ca2af2caec22bdc8c27c2a6656c8e1501e63ed21d,1254,Hf2 La2 O7
current-nlr-pbe-gw-v1:gw:matdb:000290331,current-nlr-pbe-gw-v1:composition:480d4b9f5e81de56519753a92ee932882c56233bd133432391a4e4ee3ba50083,1256,Hf2 O7 Y2
current-nlr-pbe-gw-v1:gw:matdb:000010436,current-nlr-pbe-gw-v1:composition:2e199015572e4fc74af6c01997229bedb39cf7fdac5607abc54d91a852da9a37,1306,In2 Mg O4
current-nlr-pbe-gw-v1:gw:matdb:000010046,current-nlr-pbe-gw-v1:composition:2ee0b96165e9fd58531128693d60cb68b3038e34d7f58a9d9073b00dc68857f4,1307,In2 Mn O4
current-nlr-pbe-gw-v1:gw:matdb:000010448,current-nlr-pbe-gw-v1:composition:49a5f8d538b56be7b01f633482286551c1228112cf7831bbff2d3387576e655e,1308,In2 Ni O4
current-nlr-pbe-gw-v1:gw:matdb:000010087,current-nlr-pbe-gw-v1:composition:6693e36c0af5bf0efbd870f8534018e9d51201456a911b08658672b93221a853,1310,In2 O3
current-nlr-pbe-gw-v1:gw:matdb:000010478,current-nlr-pbe-gw-v1:composition:eb5d6bbbb0249185ce851b4fcac35d4958ca05120d15cc2d1cbafc3258c3f9cc,1315,In2 O4 Zn
current-nlr-pbe-gw-v1:gw:matdb:000289890,current-nlr-pbe-gw-v1:composition:6237d509ccd037d3bd2033c596fafbd6ce9943da1a5f8d847638148ba3ea0381,1482,La Mn O3
current-nlr-pbe-gw-v1:gw:matdb:000289918,current-nlr-pbe-gw-v1:composition:8b08595a4ef867bb90e73c8a6014f2f426c3d72b32f84458c7a18c56f9d402a8,1492,La Nb O4
current-nlr-pbe-gw-v1:gw:matdb:000289881,current-nlr-pbe-gw-v1:composition:6cd81f7261a9a25482f12b38e359c62b527133c61bb78937869813c49051da30,1505,La O4 Ta
current-nlr-pbe-gw-v1:gw:matdb:000289900,current-nlr-pbe-gw-v1:composition:7bf97e148f3de984b97fb8d7ad846f9dc96ab02bb9db2f19d26da4d7fddd5f66,1519,La2 O2 S
current-nlr-pbe-gw-v1:gw:matdb:000289977,current-nlr-pbe-gw-v1:composition:d1214ef62b1581612d1675ed55e13170dbdde7d8c41ee33e4e67f4c799067fb5,1520,La2 O2 Se
current-nlr-pbe-gw-v1:gw:matdb:000289910,current-nlr-pbe-gw-v1:composition:f21a49b5dab18babe09d3646ac1ab8f3874c0dde4040f65e995db1be470d0a4f,1521,La2 O3
current-nlr-pbe-gw-v1:gw:matdb:000289932,current-nlr-pbe-gw-v1:composition:b43a041f7b92562e3edae51cab0116d55f73253f82b6635fee9db7cb50816375,1531,La2 O7 Zr2
current-nlr-pbe-gw-v1:gw:matdb:000286998,current-nlr-pbe-gw-v1:composition:b95ff1693d6212f4974a3c5c4806be3c601e56ff8dd07a90d927e96e8734ab66,1553,Li O
current-nlr-pbe-gw-v1:gw:matdb:000286993,current-nlr-pbe-gw-v1:composition:ea1680e7ed0859f7f86b133cc7f569b158dbcd3d4b95c66aecdc9ec576d65801,1554,Li2 O
current-nlr-pbe-gw-v1:gw:matdb:000289941,current-nlr-pbe-gw-v1:composition:e82b2a3d133dae3cb9281b5fd80cc93d9a094df5b8d9f7dce608cf043fa61644,1555,Li2 O3 Sn
current-nlr-pbe-gw-v1:gw:matdb:000011348,current-nlr-pbe-gw-v1:composition:fb997c528c1f4dc4b782b80a92cd06111f1a6d1dba682891bcc561c3620772af,1556,Mg Mn2 O4
current-nlr-pbe-gw-v1:gw:matdb:000010484,current-nlr-pbe-gw-v1:composition:f5528085e7f1259f6f2025127ebae6ff9e70e6765c501e2d2aab9d0be2a67153,1562,Mg O
