autodiff_envelope_max_abs,beta,conditional_ess_from_beta0,count,entropy_effective_fraction,ess_fraction,finite_difference_max_abs,largest_shift_coordinates,largest_standardized_mean_shifts,mass_count_50,mass_count_90,mass_count_99,maximum_weight,point,seed,torch_gradient_max_abs,torch_value_abs
1.6697754290362354e-13,0.0,0.9999999999999998,40,1.0000000000000007,0.9999999999999998,5.7328627178776514e-08,"[8, 9, 7, 11, 3]","[5.403220836221536e-15, 4.2027621466713715e-15, 3.913003218548763e-15, 3.8352173189504866e-15, 3.2106607881640787e-15]",128,231,254,0.003906250000000001,midpoint,1,1.5347723092418164e-12,1.1013412404281553e-13
4.725109192804666e-13,0.25,0.9985590526806832,40,0.9992859747306808,0.9985590526806835,5.703536132273257e-08,"[8, 2, 3, 9, 5]","[0.026207581522861054, 0.02294971122054791, 0.02129144593262688, 0.020529189965855735, 0.020496848391061695]",125,229,254,0.0044741411672428845,midpoint,1,8.313350008393172e-13,1.0658141036401503e-13
2.0961010704922955e-13,0.5,0.9940860221455503,40,0.9970932641742069,0.9940860221455505,5.6655313329656565e-08,"[8, 2, 3, 9, 5]","[0.05275532989632061, 0.04635312208727488, 0.042884857947141225, 0.0413772923164756, 0.0412109686375695]",121,228,254,0.00511720816348454,midpoint,1,8.739675649849232e-13,9.769962616701378e-14
1.270095140171179e-13,0.75,0.9863720820697732,40,0.9933495165830949,0.986372082069773,5.6309843898816325e-08,"[8, 2, 3, 9, 5]","[0.07963630123159385, 0.07021617724462836, 0.06477354657411992, 0.06255223303470257, 0.06213003515588212]",117,226,253,0.0058440316951462925,midpoint,1,8.597567102697212e-13,9.103828801926284e-14
2.1671553440683056e-13,1.0,0.9752393371230896,40,0.9879884669319161,0.9752393371230896,5.5934403775381725e-08,"[8, 2, 3, 9, 5]","[0.10684195034959804, 0.09454357761160744, 0.08694897550180743, 0.08406107368890978, 0.0832397902803161]",113,225,253,0.0066639250003120674,midpoint,1,9.094947017729282e-13,8.43769498715119e-14
3.1086244689504383e-15,0.0,0.9999999999999998,16,1.0000000000000007,0.9999999999999998,1.7111168038042024e-08,"[11, 4, 8, 6, 2]","[2.1872835035231574e-15, 8.270112894456128e-16, 5.788470213500666e-16, 5.1898402622702055e-16, 4.472335601741785e-16]",128,231,254,0.003906250000000001,map,2,1.787459069646502e-14,8.881784197001252e-16
1.1102230246251565e-15,0.25,0.9560920594204936,16,0.9743633823572001,0.9560920594204936,5.737742947431457e-09,"[1, 3, 0, 10, 2]","[0.09779715857824968, 0.07420892705668257, 0.0569745325384736, 0.040755262436750046, 0.038089260811183426]",109,217,249,0.006025769166337893,map,2,3.9968028886505635e-15,0.0
1.942890293094024e-15,0.5,0.8711213357173365,16,0.9236819829369357,0.8711213357173365,4.861055113991597e-09,"[1, 3, 0, 10, 2]","[0.15465804178033293, 0.13205715254394865, 0.11151086041180362, 0.09263788418504296, 0.07249703360231433]",92,205,244,0.008887193952196868,map,2,4.218847493575595e-15,0.0
1.3322676295501878e-15,0.75,0.7629801106695642,16,0.8577225828447029,0.7629801106695642,4.221731852993571e-09,"[1, 3, 0, 10, 11]","[0.19698881458757878, 0.18595649377059395, 0.1655709642991549, 0.14923414370171617, 0.10863375236857573]",77,193,240,0.012688936810636693,map,2,3.9968028886505635e-15,0.0
1.3322676295501878e-15,1.0,0.6448037443095542,16,0.780849294298186,0.6448037443095542,3.6974738826245357e-09,"[3, 1, 0, 10, 11]","[0.23870152499305636, 0.23206377929801583, 0.21835665205495614, 0.2084520340289712, 0.15235177836326913]",64,180,234,0.01761359201266434,map,2,5.995204332975845e-15,8.881784197001252e-16
4.440892098500626e-16,0.0,0.9999999999999998,16,1.0000000000000007,0.9999999999999998,1.0271583583687516e-09,"[11, 4, 8, 6, 2]","[2.1872835035231574e-15, 8.270112894456128e-16, 5.788470213500666e-16, 5.1898402622702055e-16, 4.472335601741785e-16]",128,231,254,0.003906250000000001,teacher,2,5.329070518200751e-15,1.9984014443252818e-15
