dimension,median_inverse_lengthscale,method,n,regime,seed
10,0.3506769486045459,B0-NUTS,32,G,1
11,0.3007559724991652,B0-NUTS,32,G,1
12,0.2609748993913295,B0-NUTS,32,G,1
13,0.40584933372854515,B0-NUTS,32,G,1
14,0.3720641977861908,B0-NUTS,32,G,1
15,0.2623512760662865,B0-NUTS,32,G,1
16,0.2699673127087015,B0-NUTS,32,G,1
17,0.3717258175185011,B0-NUTS,32,G,1
18,0.25261775241097423,B0-NUTS,32,G,1
19,0.2704883090422807,B0-NUTS,32,G,1
0,5.134473675125005,B1,64,G,1
1,5.271211570867448,B1,64,G,1
2,9.999999999999991e-05,B1,64,G,1
3,9.999999999999991e-05,B1,64,G,1
4,9.999999999999991e-05,B1,64,G,1
5,0.0007717221973560789,B1,64,G,1
6,9.999999999999991e-05,B1,64,G,1
7,0.0001761136049964273,B1,64,G,1
8,9.999999999999991e-05,B1,64,G,1
9,0.00011795452590470758,B1,64,G,1
10,0.00038888859098777054,B1,64,G,1
11,9.999999999999991e-05,B1,64,G,1
12,9.999999999999991e-05,B1,64,G,1
13,9.999999999999991e-05,B1,64,G,1
14,0.0009395392451604881,B1,64,G,1
15,0.0001000035256988959,B1,64,G,1
16,9.999999999999991e-05,B1,64,G,1
17,0.00010036740731204722,B1,64,G,1
18,9.999999999999991e-05,B1,64,G,1
19,9.999999999999991e-05,B1,64,G,1
0,5.506284321548885,B0-NUTS,64,G,1
1,5.831677676790149,B0-NUTS,64,G,1
2,0.10472617518982134,B0-NUTS,64,G,1
3,0.09278390578679852,B0-NUTS,64,G,1
4,0.10388119616067444,B0-NUTS,64,G,1
5,0.09708411193136837,B0-NUTS,64,G,1
6,0.10664391371601407,B0-NUTS,64,G,1
7,0.1260454645874202,B0-NUTS,64,G,1
8,0.10120397217504307,B0-NUTS,64,G,1
9,0.12208341982956573,B0-NUTS,64,G,1
10,0.11081610313542072,B0-NUTS,64,G,1
11,0.09464387290480235,B0-NUTS,64,G,1
12,0.11133012952941006,B0-NUTS,64,G,1
13,0.1090322304873007,B0-NUTS,64,G,1
14,0.11917702914822957,B0-NUTS,64,G,1
15,0.11488047171212615,B0-NUTS,64,G,1
16,0.11142702415967723,B0-NUTS,64,G,1
17,0.10998395133267568,B0-NUTS,64,G,1
18,0.12088327277996473,B0-NUTS,64,G,1
19,0.11027319303699681,B0-NUTS,64,G,1
0,1.5247342679422775,B1,16,W,1
1,9.999999999999991e-05,B1,16,W,1
2,0.0023043165979570084,B1,16,W,1
3,0.00012594281778424376,B1,16,W,1
4,9.999999999999991e-05,B1,16,W,1
5,0.0003648404228290353,B1,16,W,1
6,9.999999999999991e-05,B1,16,W,1
7,0.0006548207897273539,B1,16,W,1
8,0.0004183614121678753,B1,16,W,1
9,9.999999999999991e-05,B1,16,W,1
10,0.8454919639348922,B1,16,W,1
11,0.00035549199633149543,B1,16,W,1
12,9.999999999999991e-05,B1,16,W,1
13,0.3841270413416687,B1,16,W,1
14,9.999999999999991e-05,B1,16,W,1
15,0.00013519015737524395,B1,16,W,1
16,9.999999999999991e-05,B1,16,W,1
17,0.0013565077653119695,B1,16,W,1
18,0.00029762044217895774,B1,16,W,1
19,9.999999999999991e-05,B1,16,W,1
0,0.6660265853167497,B0-NUTS,16,W,1
1,0.1964353630213016,B0-NUTS,16,W,1
2,0.24297041258888538,B0-NUTS,16,W,1
3,0.20730246440638228,B0-NUTS,16,W,1
4,0.20460705846060784,B0-NUTS,16,W,1
5,0.21893248412214023,B0-NUTS,16,W,1
