absolute_decision_regret,active_top2_recall,average_correction_kl,chosen_index,coefficient_norm,ei_seconds,ei_spearman,expected_true_nll,max_ei_abs_error,mean_rmse,method,n,normalization_seconds,normalized_regret,pi_max_abs_error,pit_mean_error,pit_variance_error,prediction_seconds,quantile_10_error,quantile_50_error,quantile_90_error,regime,seed,top5_overlap,true_ei_at_selection,true_ei_optimum,true_to_model_kl,variance_rmse
0.6597783117099598,,,30,,0.004005993999953716,0.012459184280217875,2.3293958571303497,1.0723819525894904,1.408813399217931,B4,32,1.5219998203974683e-06,1.0,0.7811174364643341,0.01315572469035392,0.05285822757130636,0.011204383000176676,0.15349317094818557,0.00970278817613257,0.11742289141694828,W,0,0.07766990291262135,0.0,0.6597783117099598,2.1819468770557737,0.894205892477924
0.6597783117099598,,0.05173196139163598,30,0.8352409078744139,0.007515700999874753,0.011211391085613812,4.7397981555756274,0.945456844779493,1.4099105277689519,E0,32,0.0006198579999363574,1.0,0.8276201916485948,0.010183290848316762,0.08252651630971598,0.029184972999928505,0.21872243369247327,0.009133148365315868,0.1913237573735339,W,0,0.07766990291262135,0.0,0.6597783117099598,4.5923491755010515,0.4215442607720962
0.6597783117099598,,0.18472578810870585,30,1.1167909966226461,0.008596695000051113,0.00864105003392829,4.340988669279413,0.9827150961054485,1.4124443632466899,E1,32,0.0006490390001090418,1.0,0.8322065962610787,0.0013227780502838016,0.07314595770259834,0.03089264200002617,0.19464387360076438,0.009369912244189538,0.16340637340914344,W,0,0.07766990291262135,0.0,0.6597783117099598,4.193539689204837,0.43658996513091847
0.6597782901610691,0.0,,1631,,0.0026675869999053248,0.07260212408543275,1.4896144117324,0.6462869432380092,0.9872218978227799,B0-NUTS,32,,0.9999999673391952,0.6198916697018471,0.015312860334379064,0.0038073892187112796,1.5886003949999576,0.06166675536095237,0.07350148824756919,0.0220962873962377,W,0,0.1650485436893204,2.154889068557138e-08,0.6597783117099598,1.3421654316578238,1.121383173648325
0.027935191449166952,1.0,,1935,,0.0004803849999461818,0.5001532454461163,0.03814913057340598,0.1488975806744638,0.17193222151876825,B1,64,0.0006873209999866958,0.178044395222311,0.30593509581672973,0.011721728620780802,0.021503723675021333,0.007077311000102782,0.03246115638970444,0.022429832617524514,0.044759404946462245,W,0,0.7864077669902912,0.12896495367635818,0.15690014512552514,0.6455357785329062,0.12980271093827048
0.08872207141760959,,,1615,,0.004251637000152186,0.6649587897033123,0.2197925403173488,0.12923713531337458,0.1763691495850902,B2-G,64,1.2920002063765423e-06,0.5654683833888687,0.23707143993485313,0.019623050654020258,0.046344056927876534,0.01173723300007623,0.08368741673533993,0.05263099100964197,0.07435939187260432,W,0,0.7864077669902912,0.06817807370791555,0.15690014512552514,0.8271791882768491,0.25138416360224203
0.09470641125900756,,,527,,0.004063268999971115,0.6618804393332052,0.07652723276077036,0.14756822418372592,0.18107306058074216,B2-C,64,7.630001164216083e-07,0.6036094560858398,0.3383713013961459,0.03604802084098879,0.024259657746737842,0.011226552000152878,0.0533637073957043,0.07560016924468915,0.03077517079486769,W,0,0.7378640776699029,0.062193733866517574,0.15690014512552514,0.6839138807202706,0.2130718277879465
0.08872207141760959,,,1615,,0.0038151870001001953,0.6649587851835183,0.2206292409948772,0.12987463300711322,0.17777366445095208,B3,64,1.1439999525464373e-06,0.5654683833888687,0.23960455186214813,0.023870800113687807,0.0463864613075949,0.02073403600002166,0.08424930226753702,0.06482284402224203,0.07387523835765153,W,0,0.7864077669902912,0.06817807370791555,0.15690014512552514,0.8280158889543775,0.25139979777715415
0.08872207141760959,,,1615,,0.004033269999808908,0.6649614428224188,0.13097476855067983,0.12601755224067954,0.1766984017713831,B4,64,1.2809998679585988e-06,0.5654683833888687,0.26897452370175545,0.03104639617878102,0.03785182105311864,0.011338954000166268,0.07523554411190247,0.07795230573710593,0.06682074215496336,W,0,0.7864077669902912,0.06817807370791555,0.15690014512552514,0.7383614165101801,0.23498227503810346
0.027935191449166952,,0.024851313815976266,1935,0.4861065213925901,0.0077770090001649805,0.6649530179263125,0.09073335516119307,0.14737897666990715,0.17923814779233685,E0,64,0.0006029490000400983,0.178044395222311,0.3006456048496041,0.040409997812679066,0.03009799991242325,0.029201957000168477,0.059391790916121845,0.09212907594310332,0.046955039603732485,W,0,0.7864077669902912,0.12896495367635818,0.15690014512552514,0.6981200031206933,0.1456675003910986
0.027935191449166952,,0.03166194538337687,1935,0.6702178503251015,0.008644366999988051,0.6649365297176238,0.09986834376978833,0.1495814383138088,0.1795114549203173,E1,64,0.000672251999958462,0.178044395222311,0.3105831556302384,0.03582816850877346,0.026603561588934274,0.033650556999873515,0.05230232264552766,0.09096078543703201,0.04591695952606123,W,0,0.7864077669902912,0.12896495367635818,0.15690014512552514,0.7072549917292886,0.1434677489741796
0.027935191449166952,1.0,,1935,,0.002707878000137498,0.49281889723838024,0.35102662948041286,0.14074099923066977,0.24026847734487114,B0-NUTS,64,,0.178044395222311,0.3082460642271502,0.016543860199861093,0.046713790065034386,3.6203734509999776,0.0908198679160819,0.05815692254133675,0.07082440612426644,W,0,0.7184466019417476,0.12896495367635818,0.15690014512552514,0.958413277439913,0.2647525166254327
0.08702171489638141,0.5,,1086,,0.0005985919999602629,0.36271345962324303,22.676145024940052,0.3770196391121785,0.6716801072717118,B1,16,0.0008385219998672255,0.8438522141671617,0.9854667388571036,0.008358420192945415,0.12416637223367623,0.008614216000069064,0.31100033137881344,0.0075335190742570335,0.2957808503610523,G,1,0.05825242718446602,0.01610263962376087,0.10312435452014228,22.093571954075827,0.29217709625721855
0.08702171489638141,,,1086,,0.006109630000082689,0.3630117526210722,14.162813849723626,0.39269982141791027,0.6714728194061954,B2-G,16,1.3860001217835816e-06,0.8438522141671617,0.8493316225176911,0.01332912011511711,0.07478187045069755,0.014983104000066305,0.1995528024214421,0.015373398808997019,0.17147513972838324,G,1,0.05825242718446602,0.01610263962376087,0.10312435452014228,13.580240778859402,0.24770999358626855
0.08702171489638141,,,1086,,0.005826122000144096,0.38837979905777703,13.68195994105999,0.4216308501902759,0.6693879791653712,B2-C,16,8.680001428729156e-07,0.8438522141671617,0.7698741540710341,0.01152600997933545,0.06417293148763321,0.014540501000055883,0.1761074000257383,0.011465083018685984,0.15854168520035883,G,1,0.08737864077669903,0.01610263962376087,0.10312435452014228,13.099386870195765,0.20447942994913532
0.07485288749185064,,,1054,,0.003799702999913279,0.36294942056626983,14.170187111921074,0.4018487609007827,0.6720180138990243,B3,16,1.0809999366756529e-06,0.7258507249830141,0.8577779910940247,0.019203843643872398,0.07471264937532367,0.028270981000105166,0.20559761841917543,0.02053846030408024,0.16662312014401626,G,1,0.05825242718446602,0.02827146702829164,0.10312435452014228,13.587614041056849,0.2476339499273048
0.08702171489638141,,,1086,,0.004049342999906003,0.3630042985981033,14.36281350984737,0.3825231165130328,0.6713754015224022,B4,16,1.5480000001844019e-06,0.8438522141671617,0.8855338224837931,0.00873582683498425,0.08638379682601906,0.010805912000023454,0.2263349416326668,0.006185152530634008,0.20492114095276281,G,1,0.05825242718446602,0.01610263962376087,0.10312435452014228,13.780240438983146,0.24628413814877345
0.08702171489638141,,0.08223234458948192,1086,0.8845703226105978,0.007569088000082047,0.3678390217471279,22.1200215089365,0.3618167319885774,0.6719248936205321,E0,16,0.0006310769999799959,0.8438522141671617,0.9700717041574962,0.0014342211712443653,0.11331192996317634,0.02857767000000422,0.27782497920012816,0.0036692540853460742,0.27385842734971877,G,1,0.05825242718446602,0.01610263962376087,0.10312435452014228,21.537448438072275,0.27944827314671905
0.08702171489638141,,0.1260064172670347,1086,1.0325494025095332,0.008637703000204056,0.3691204903199052,21.840390348422552,0.37888530568350126,0.6747385185871382,E1,16,0.0006710980001116695,0.8438522141671617,0.9583874373824876,0.0002695463524760022,0.1110258730144628,0.030364716000121916,0.2722104637221954,0.0009596890453563711,0.270570943392317,G,1,0.05825242718446602,0.01610263962376087,0.10312435452014228,21.257817277558328,0.27673322915623644
0.10287126553753671,0.5,,1817,,0.0033112400001300557,0.44919566361100766,1.0935219942086962,0.256415595811439,0.4972962646127403,B0-NUTS,16,,0.9975457884436394,0.5392268844204203,0.0023152110306309814,0.007906107033876078,0.8057123829999,0.024206089432562417,0.002330380195441739,0.0163850314835694,G,1,0.08737864077669903,0.00025308898260557053,0.10312435452014228,0.510948923344472,0.28404898281871443
0.10467976246708587,0.5,,1970,,0.0005020969999804947,0.3799609957371738,3.0974778223113795,0.10965967415462341,0.6629019862259082,B1,32,0.0006789990000015678,0.9545875752841168,0.744037203722167,0.025004685878541544,0.08085693785854835,0.0071890970000367815,0.17676818213862225,0.025783346823141762,0.22852353324286623,G,1,0.13592233009708737,0.004979911697361242,0.10965967416444711,3.065988763802861,0.08950757184570318
0.10219423226143204,,,382,,0.004397886999868206,0.37580515045498786,1.3560472387040239,0.20193377798912032,0.6617636371851185,B2-G,32,1.2230000265844865e-06,0.9319217209069964,0.712836649691496,0.017170811823766896,0.030507294423076523,0.011189862000037465,0.06046711334712354,0.01842414860880537,0.09199627973822133,G,1,0.06796116504854369,0.007465441903015065,0.10965967416444711,1.324558180195505,0.2690442311909875
0.050778645009335106,,,114,,0.004039733999888995,0.3907643592332136,1.270356480437448,0.20657770871157877,0.6632059490743994,B2-C,32,7.740000000922009e-07,0.46305668329076716,0.7187585311950646,0.022965821721818935,0.029954633960062746,0.010725717000013901,0.054877547092739565,0.027740764952503716,0.09744925439224372,G,1,0.1553398058252427,0.058881029155112,0.10965967416444711,1.2388674219289293,0.20590354664610086
0.10219423226143204,,,382,,0.0037350520001382392,0.3757829175682671,1.3555993235785402,0.20450884980540962,0.6614022963104749,B3,32,1.0969999948429177e-06,0.9319217209069964,0.7121945392446949,0.015055956950363658,0.030547407668941914,0.020113810000111698,0.061791561149818236,0.01585033784126305,0.09046241841088332,G,1,0.06796116504854369,0.007465441903015065,0.10965967416444711,1.3241102650700214,0.26901418762185647
