phase,source_role,source_seed,schedule_id,grid_size,checkpoint,action_index,autocorrelation_ess,challenger_index,mcse,mean,observable,observable_type,required_for_strict_gate,split_rhat,standard_deviation,pooled_top_ten_member,absolute_estimate_over_mcse
CALIBRATION,calibration,2026082401,S1,40,early,900,6206.220161544269,860.0,0.005436611000655098,0.1746442263969788,gap_900_vs_860,LEADER_CHALLENGER_GAP,True,1.001123567256261,0.42829386005583525,True,32.12373045927593
CALIBRATION,calibration,2026082401,S1,40,early,899,5983.576733304737,,0.004509485045016082,0.421666262092686,utility_action_899,TOP_ACTION_UTILITY,True,1.0010148601936724,0.3488248236872068,True,93.50652189404971
CALIBRATION,calibration,2026082401,S1,40,early,900,6313.942850701592,899.0,0.0057887461099524785,0.011096256572768047,gap_900_vs_899,LEADER_CHALLENGER_GAP,True,1.0013354509489178,0.45997563272728853,True,1.9168670316513743
CALIBRATION,calibration,2026082401,S1,40,early,900,6248.844440952128,,0.004364885183642744,0.432762518665454,utility_action_900,TOP_ACTION_UTILITY,True,1.0009358893772402,0.34504257084686735,True,99.14636936779381
CALIBRATION,calibration,2026082401,S1,40,early,939,5559.720011100777,,0.0038634052104825297,0.25469273720914315,utility_action_939,TOP_ACTION_UTILITY,True,1.00164187213085,0.2880691304445375,True,65.92441727781711
CALIBRATION,calibration,2026082401,S1,40,early,900,6019.237567820642,939.0,0.005765019703754417,0.17806978145631086,gap_900_vs_939,LEADER_CHALLENGER_GAP,True,1.0013620287522678,0.44727182157331624,True,30.8879744748044
CALIBRATION,calibration,2026082401,S1,40,early,940,5912.7418815669225,,0.0036667183976833344,0.2404986790862063,utility_action_940,TOP_ACTION_UTILITY,False,1.0017405140242914,0.2819499473653333,False,65.58962347317305
CALIBRATION,calibration,2026082401,S1,40,early,900,5973.548937770261,940.0,0.005478927156228581,0.1922638395792477,gap_900_vs_940,LEADER_CHALLENGER_GAP,False,1.0017453977861384,0.42345936252637245,True,35.091512279128835
CALIBRATION,calibration,2026082401,S1,40,middle,659,5772.348363095532,,0.0018395380526634965,0.05947919768729547,utility_action_659,TOP_ACTION_UTILITY,True,1.0017095671046725,0.13976069208753303,True,32.33376857911397
CALIBRATION,calibration,2026082401,S1,40,middle,939,5351.599176906501,659.0,0.002763193861228909,0.00115912060571635,gap_939_vs_659,LEADER_CHALLENGER_GAP,True,1.000899610779581,0.2021404110607504,True,0.4194858066168546
CALIBRATION,calibration,2026082401,S1,40,middle,660,5244.322168647578,,0.0019095384901174099,0.05627674363684813,utility_action_660,TOP_ACTION_UTILITY,True,1.0017736631221499,0.13828437095195115,True,29.471384802192645
CALIBRATION,calibration,2026082401,S1,40,middle,939,5474.38904689914,660.0,0.0027200848657077305,0.004361574656163685,gap_939_vs_660,LEADER_CHALLENGER_GAP,True,1.0008982174108705,0.2012566702551417,True,1.6034700649050744
CALIBRATION,calibration,2026082401,S1,40,middle,698,6180.523879366593,,0.0011546692017004004,0.025735276207767076,utility_action_698,TOP_ACTION_UTILITY,False,1.000963933067486,0.09077582956826477,True,22.288007829314697
