support_count,factor_count,state,record_kind,epsilon,stage,active_factor_count,active_factor_fraction,active_leader,worst_challenger,active_ei_gap,b_struct,max_psi,shadow_full_leader,shadow_full_action_agreement,shadow_full_laplace_ei_regret,cumulative_factor_energy_gradient_calls,cumulative_factor_energy_gradient_work,cumulative_factor_hessian_calls,cumulative_factor_hessian_work,stage_fit_conditioning_seconds,load_solve_seconds,load_solve_iterations,load_solve_relative_residual,cumulative_conditioning_seconds,activated_factor_count_after_stage,certified,full_bank_fallback,peak_rss_bytes,pair_solve_seconds,pair_solve_iterations,pair_solve_relative_residual
1000,499361,seed_0_initial,stage,0.02,2,471065,0.9433355828749141,13,30,-0.0038407444861423175,0.19405644779058034,0.19021570330443804,13,True,0.0,107,50366937,2,941684,0.22926095803268254,0.0008102920837700367,17,9.036666653960431e-12,1.0572145420592278,585,False,False,316276736,0.0006958339363336563,17,8.627891033104246e-12
1000,499361,seed_0_initial,stage,0.02,3,471650,0.9445070800483018,13,53,-0.003503290708802384,0.1762242943717719,0.1727210036629695,13,True,0.0,137,64516437,3,1413334,0.2860393750015646,0.0007634579669684172,17,9.209830134696325e-12,1.3509260001592338,1176,False,False,316276736,0.0007018749602138996,17,7.962090774374831e-12
1000,499361,seed_0_initial,stage,0.02,4,472826,0.9468620897507014,13,172,-0.004308747028217978,0.1586016947331805,0.15429294770496252,13,True,0.0,173,81538173,4,1886160,0.3407978331670165,0.0007417912129312754,17,9.340334362864025e-12,1.6993532089982182,644,False,False,316276736,0.000693208072334528,17,8.343701269266057e-12
1000,499361,seed_0_initial,stage,0.02,5,473470,0.9481517379210631,13,154,-0.0030306322778528814,0.15429301223107234,0.15126237995321945,13,True,0.0,214,100950443,5,2359630,0.383722583996132,0.0007634169887751341,17,9.26782259864568e-12,2.0904385840985924,516,False,False,316276736,0.0006897079292684793,17,7.582945518870367e-12
1000,499361,seed_0_initial,stage,0.02,6,473986,0.9491850585047691,13,173,-0.005633363172192752,0.12388343541055648,0.11825007223836373,13,True,0.0,253,119435897,6,2833616,0.39749229117296636,0.0007833328563719988,17,9.350744477459739e-12,2.4957662092056125,203,False,False,316276736,0.0006892909295856953,17,7.626395553432401e-12
1000,499361,seed_0_initial,stage,0.02,7,474189,0.9495915780367309,13,29,-0.0023292790138352004,0.08075710564107852,0.07842782662724332,13,True,0.0,282,133187378,7,3307805,0.2710929580498487,0.0007772089447826147,17,9.358108792711722e-12,2.7742843341547996,149,False,False,316276736,0.0006955408025532961,17,8.52746861947769e-12
1000,499361,seed_0_initial,stage,0.02,8,474338,0.9498899593680724,13,127,-0.002918510704665641,0.07578324752949313,0.07286473682482748,13,True,0.0,315,148840532,8,3782143,0.3128940409515053,0.0007882919162511826,17,9.360481286301969e-12,3.094871792010963,0,False,False,316276736,,,
1000,499361,seed_0_initial,fallback,0.02,8,499361,1.0,13,,,0.0,,13,True,0.0,377,179800914,9,4281504,0.6012256250251085,0.0,0,0.0,3.6968676671385765,0,False,True,316276736,,,
1000,499361,seed_0_after_6_queries,stage,0.02,0,0,0.0,77,78,-3.658817587069255e-06,2.308968305449781,2.3089646466321936,134,False,2.5716118571318206e-06,0,0,0,0,0.0,0.000786124961450696,17,5.726431002742544e-12,0.0009463750757277012,472493,False,False,316276736,0.000713458051905036,17,6.6916785898012964e-12
1000,499361,seed_0_after_6_queries,stage,0.02,1,472493,0.9461952375135423,134,51,-3.5330061808221046e-06,0.22111469225055844,0.2211111592443776,134,True,0.0,88,41579384,1,472493,0.821252082940191,0.0007830001413822174,17,7.28432654162209e-12,0.8780788329895586,397,False,False,316276736,0.0006813330110162497,17,6.713336611452927e-12
1000,499361,seed_0_after_6_queries,stage,0.02,2,472890,0.9469902535440292,134,30,-3.6728991426037385e-06,0.15527040034856407,0.15526672744942147,134,True,0.0,130,61440764,2,945383,0.3945369999855757,0.000761666800826788,17,7.30794211144962e-12,1.2809053750243038,449,False,False,316276736,0.000685832928866148,17,7.374582542324124e-12
