x,ei,log_ei,second_improvement_moment,chi_square,ess_fraction,smooth_acquisition,smooth_second_moment
-1.2,0.0006632360803088064,-7.3183795522623125,2.1173078397961654e-05,47.13353051528169,0.020775538160088106,0.001061650113765241,2.417645154154008e-05
-1.19,0.0008045383171826837,-7.125241964098379,2.5802493026957786e-05,38.86283700328296,0.025086021848310585,0.0012541999988131124,2.929459576259901e-05
-1.18,0.0009708049267888267,-6.9373850091465155,3.13961588350321e-05,32.31291020397086,0.03001839208514425,0.0014751925330672635,3.542960814736014e-05
-1.17,0.001165001827856539,-6.755032622990134,3.8107103564205835e-05,27.077130900372584,0.035616174727693774,0.0017272851883837039,4.27347831310534e-05
-1.1600000000000001,0.0013901392408384467,-6.578351363591474,4.610109428044514e-05,22.85583534693582,0.04191846504039716,0.0020130883226190943,5.137510984577283e-05
-1.15,0.0016492081498972147,-6.407460015416105,5.555516297650747e-05,19.425536914130017,0.04895832135057454,0.0023351064130182845,6.152571344208428e-05
-1.1400000000000001,0.0019451090779347595,-6.2424372222838285,6.665552753913643e-05,16.617660978716874,0.056761223933645695,0.002695675480866401,7.336973006717897e-05
-1.13,0.0022805751968100205,-6.083327588530219,7.959489277569114e-05,14.303698768834366,0.06534368031579903,0.0030968985473097395,8.709560598723834e-05
-1.12,0.002658092271686254,-5.930146604588488,9.456914274913044e-05,12.384721735482628,0.07471205003455694,0.0035405811952140534,0.00010289383555526585
-1.1099999999999999,0.0030798182960632046,-5.782884678521588,0.00011177346459065826,10.783885758638215,0.08486165094285192,0.0040281694472831435,0.00012095317888251991
-1.1,0.0035475058778667227,-5.6415104920275105,0.00013139797355163512,9.441007796641072,0.09577619512186412,0.004560692191860373,0.0001414564266950101
-1.0899999999999999,0.004062430464079608,-5.505973848007021,0.0001536229374483432,8.308596052398844,0.10742758568219296,0.005138710288721264,0.00016457580532314194
-1.08,0.004625327333391136,-5.376208135734893,0.00017861372395378108,7.34891191542839,0.11977608700746355,0.005762274270790399,0.00019046813744479977
-1.0699999999999998,0.005236339950539016,-5.252132507423455,0.00020651561465922214,6.531773074903057,0.13277086152955705,0.006430892236275107,0.00021926989256838153
-1.06,0.0058949817848958615,-5.133653834921943,0.00023744864403105987,5.832895186100638,0.14635084730030448,0.0071435091194747705,0.00025109227404791865
-1.0499999999999998,0.006600113084821034,-5.020668496032751,0.00027150262832822177,5.232629124899653,0.16044593380423552,0.007898498064025287,0.000286016495779786
-1.04,0.007349933413021127,-4.9130640252513365,0.00030873254874418273,4.714991766693009,0.17497837981639858,0.008693664129872778,0.0003240894011912811
-1.03,0.00814199003603394,-4.8107206526758715,0.00034915444456984395,4.266916601840252,0.18986440750753517,0.009526260076199874,0.00036531956971907017
-1.02,0.008973201572219052,-4.7135127466123885,0.00039274195664153075,3.877670418352867,0.20501590190213967,0.010393013506517246,0.000409674042170284
-1.01,0.009839895681877311,-4.621310169409403,0.0004394236398014362,3.5383964260703102,0.2203421442550968,0.011290164264786623,0.0004570757770437619
-1.0,0.010737859066477574,-4.533979551813879,0.0004890811369597471,3.241754350708357,0.2357515115963761,0.01221351065243252,0.0005074019262590108
-0.99,0.011662397656639841,-4.451385488269272,0.0005415482782231371,2.981635392356798,0.2511530819521079,0.01315846280807109,0.0005604829921941831
-0.98,0.012608404623573282,-4.373391653775822,0.0005966111381258384,2.752935338907183,0.2664580947166518,0.014120101459971914,0.0006161028999524985
-0.97,0.01357043374719939,-4.299861841961634,0.000654009053883278,2.5513731132904796,0.2815812273448967,0.015093240223857522,0.0006739999908063239
-0.96,0.014542775706690252,-4.230660923673133,0.0007134365792210278,2.373345006068125,0.296441661970879,0.0160724896677374,0.0007338689161228654
-0.95,0.015519535007657684,-4.165655725522698,0.0007745463228859708,2.2158070775791088,0.31096392783388294,0.01705232148843583,0.0007953633868553461
-0.94,0.016494705501025532,-4.104715828293921,0.0008369525992808802,2.076179902605973,0.3250785167515249,0.01802713132555782,0.0008580997127261564
-0.9299999999999999,0.017462242755019553,-4.047714285787761,0.0009002358013055728,1.9522711162519357,0.3387222787551954,0.01899129896059086,0.0009216610480849569
-0.9199999999999999,0.018416131886685998,-3.9945282655009953,0.000963947392647516,1.8422122045498863,0.3518386130350064,0.019939244894407657,0.0009856022483646957
-0.9099999999999999,0.01935044981769377,-3.9450396133840964,0.0010276154083708644,1.7444067419416305,0.36437747536376974,0.020865482549599024,0.0010494552320940342
-0.8999999999999999,0.020259421269126925,-3.899135345765697,0.0010907503484055819,1.6574878652321154,0.376295227189177,0.0217646655909718,0.0011127347383520923
-0.8899999999999999,0.02113746813420814,-3.856708072306386,0.0011528513479691803,1.5802832308304184,0.38755435374362673,0.022631630087066,0.0011749443680001029
-0.8799999999999999,0.02197925215394275,-3.81765635451894,0.0012134125114883186,1.5117860596150146,0.3981230790624229,0.023461431439534816,0.0012355827985111268
-0.8699999999999999,0.02277971106082684,-3.7818850049405204,0.0012719293016020998,1.4511311546187264,0.4079749050211677,0.024249376180477365,0.001294150066197428
-0.8599999999999999,0.023534088546610186,-3.7493053324502323,0.0013279048816990805,1.3975749983422467,0.4170880997221898,0.024991048877785152,0.0013501538155424385
-0.8499999999999999,0.02423795855182501,-3.7198353394866057,0.0013808563185799224,1.350479212140315,0.4254451580915763,0.02568233449500452,0.0014031154226382021
-0.8400000000000001,0.024887244470300204,-3.6933998770357848,0.001430320560725568,1.3092967999385303,0.4330322546788349,0.026319436626653883,0.0014525759079144131
-0.8300000000000001,0.02547823391600031,-3.6699307632392584,0.001475860116847457,1.2735607103471582,0.43983870562546196,0.026898892075179568,0.0014981015619935719
-0.8200000000000001,0.026007589718174063,-3.6493668713212783,0.0015170683685500948,1.2428743410890948,0.44585645378350536,0.027417582255399916,0.0015392892172660007
-0.81,0.026472357800307628,-3.6316541922745214,0.0015535744597841988,1.2169036822565054,0.45107958816782534,0.027872741910361633,0.0015757711063753635
-0.8,0.02686997256497247,-3.6167458773834507,0.0015850477141297699,1.195370853935151,0.45550390641632293,0.028261965603042255,0.0016072192570432576
-0.79,0.027198260356049577,-3.604602265223731,0.001611201538715371,1.178048842084999,0.45912652676912497,0.028583212415070787,0.0016333493804139077
-0.78,0.02745544150694231,-3.595190897268151,0.0016317967807065886,1.1647572765400596,0.4619455542832516,0.028834809239992622,0.0016539242173010914
-0.77,0.027640131412320183,-3.5884865256684932,0.0016466445087885274,1.155359128429958,0.4639598045678988,0.02901545300745255,0.0016687563133556498
-0.76,0.027751340984790866,-3.5844711161810023,0.001655608197968436,1.1497582327225784,0.46516858722924487,0.029124212118336577,0.0016777102002703092
-0.75,0.02778847677893248,-3.583133848571169,0.0016586053014096154,1.147897566168457,0.4655715504086433,0.029160527311183893,0.0016807039657590025
-0.74,0.027751340984818882,-3.5844711161799925,0.0016556081979729603,1.1497582327241127,0.46516858722891286,0.029124212118365026,0.0016777102002748395
-0.73,0.02764013141237863,-3.5884865256663785,0.0016466445087979667,1.155359128433198,0.4639598045672013,0.0290154530075119,0.001668756313365101
-0.72,0.027455441507036216,-3.5951908972647306,0.0016317967807217535,1.1647572765453695,0.46194555428211853,0.02883480924008798,0.0016539242173162756
-0.71,0.027198260356186953,-3.6046022652186798,0.001611201538737557,1.1780488420929882,0.45912652676744087,0.028583212415210293,0.0016333493804361217
-0.7,0.026869972565164955,-3.616745877376287,0.0015850477141608561,1.1953708539467538,0.4555039064139156,0.028261965603237724,0.0016072192570743835
-0.69,0.026472357800571375,-3.631654192264558,0.0015535744598267939,1.216903682273113,0.45107958816444615,0.02787274191062947,0.0015757711064180128
-0.6799999999999999,0.02600758971853096,-3.6493668713075555,0.0015170683686077339,1.2428743411127523,0.4458564537788025,0.027417582255762348,0.0015392892173237134
-0.6699999999999999,0.02547823391647964,-3.669930763220445,0.0014758601169248683,1.2735607103808642,0.43983870561894134,0.026898892075666328,0.001498101562071082
-0.6599999999999999,0.024887244470940793,-3.6933998770100454,0.001430320560829023,1.3092967999866807,0.4330322546698059,0.026319436627304404,0.0014525759080179998
-0.6499999999999999,0.02423795855267806,-3.719835339451411,0.001380856318717692,1.3504792122093754,0.42544515807907607,0.025682334495870797,0.0014031154227761473
