x,iid_seed11_ei,iid_seed11_log_ei,iid_seed29_ei,iid_seed29_log_ei,iid_seed47_ei,iid_seed47_log_ei,iid_seed83_ei,iid_seed83_log_ei,qmc_seed11_ei,qmc_seed11_log_ei,qmc_seed29_ei,qmc_seed29_log_ei,qmc_seed47_ei,qmc_seed47_log_ei,qmc_seed83_ei,qmc_seed83_log_ei,high_budget_qmc_ei,high_budget_qmc_log_ei
-0.040000000000000036,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.7440054481886395e-05,-10.956741015526944
-0.030000000000000027,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.741360763170575e-05,-10.95825860958465
-0.020000000000000018,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.745790903353828e-05,-10.955717772253632
-0.010000000000000009,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.7571874911669373e-05,-10.949210950492663
0.0,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.774786068112476e-05,-10.939245574313627
0.010000000000000231,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.7992123714113816e-05,-10.925576467268549
0.020000000000000018,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.8301880450925657e-05,-10.908506746514842
0.03000000000000025,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.8679202151527595e-05,-10.88809983745006
0.040000000000000036,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.9148062712663235e-05,-10.86330901128462
0.04999999999999982,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.971190709434485e-05,-10.83428768377642
0.06000000000000005,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,2.038403086517053e-05,-10.800758764389515
0.06999999999999984,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,8.935239515664536e-06,-11.625507603258388,0.0,-inf,2.1179519343227875e-05,-10.762475911947114
0.08000000000000007,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,3.7757357411360725e-05,-10.184330202945258,0.0,-inf,2.2132515677677535e-05,-10.718462733105984
0.08999999999999986,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,7.066452894348863e-05,-9.557566823217625,0.0,-inf,2.3272179081330887e-05,-10.668251941659571
0.10000000000000009,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.00010815838952732416,-9.131913835505657,0.0,-inf,2.4629499089041587e-05,-10.611565683470971
0.10999999999999988,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0001507900969419577,-8.799621774692966,0.0,-inf,2.626645836552821e-05,-10.547217780046383
0.1200000000000001,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0001991634503197793,-8.521384711979143,0.0,-inf,2.823780096849249e-05,-10.47484901775887
0.1299999999999999,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0002539379502193534,-8.278420611264503,0.0,-inf,3.061778808565999e-05,-10.393929407912252
0.14000000000000012,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.00031583175368878454,-8.060300911201393,0.0,-inf,3.351426329381668e-05,-10.303539439782888
0.1499999999999999,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.00038562447280194716,-7.860646530431787,0.0,-inf,3.7046368649362356e-05,-10.203340223188643
0.16000000000000014,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0004641597597515402,-7.675281755189685,0.0,-inf,4.1386203490550914e-05,-10.092562981693309
0.16999999999999993,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0005523476163122338,-7.501332970193939,0.0,-inf,4.67090009156985e-05,-9.971573672767029
0.18000000000000016,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0006511663604593222,-7.336745402381563,0.0,-inf,5.3357688289311746e-05,-9.838492480209318
0.18999999999999995,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0007616641782684969,-7.180004810352965,0.0,-inf,6.169956257381697e-05,-9.693233716643428
0.20000000000000018,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0008849601850681093,-7.029967902591968,0.0,-inf,7.22105420351664e-05,-9.535924511156743
0.20999999999999996,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.001022244916311066,-6.885754171770708,0.0,-inf,8.556006950052476e-05,-9.3662918614488
0.2200000000000002,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0011747801659329358,-6.746674241713094,0.0,-inf,0.0001026021920640319,-9.184651260309327
0.22999999999999998,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0013438980882219582,-6.612180866972013,0.0,-inf,0.0001245639228183974,-8.990691537530477
0.2400000000000002,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0015309994786053397,-6.481834502864885,0.0,-inf,0.0001529190667319937,-8.785601752136678
0.25,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0017375511494106609,-6.3552785424488984,0.0,-inf,0.00018949489966610457,-8.571148448494741
0.26000000000000023,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.00010659110990660363,-9.146510446458791,0.0,-inf,0.0019650823187448764,-6.232221142047347,0.0,-inf,0.0002369106288443221,-8.347827581430643
0.27,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0003566887254492047,-7.938647074035037,3.695350800188467e-05,-10.205849975918593,0.0022151799342874767,-6.112421644343078,0.0,-inf,0.00029804687508902815,-8.118259784872583
0.28000000000000025,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0006309916503117662,-7.368217927980078,0.0003112564328644455,-8.074893442561358,0.002489482859150039,-5.9956802771638085,0.0,-inf,0.00037646113050006076,-7.884695755097506
0.29000000000000004,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0009311836452827768,-6.97905404419677,0.0006114484278354562,-7.3996799435392395,0.0027896748541210493,-5.8818302296817055,0.0,-inf,0.0004763553236852798,-7.6493465038788075
0.30000000000000027,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0012589850908448128,-6.677449366051353,0.0009392498733974929,-6.970429008301269,0.003117476299683086,-5.770731482786026,0.0,-inf,0.0006020210303748286,-7.415218179088181
0.31000000000000005,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0016161434033797328,-6.427712583105188,0.0012964081859324125,-6.648157772359819,0.0034746346122180058,-5.662265953056938,0.0,-inf,0.0007575881279369112,-7.185370686837008
0.31999999999999984,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0020044221129987038,-6.21239948271111,0.0016846868955513847,-6.3861755511081055,0.0038629133218369767,-5.556333633593484,0.0,-inf,0.0009465395564446426,-6.962697795853631
0.33000000000000007,6.33638062512668e-05,-9.666617738852294,0.0,-inf,0.0,-inf,0.0,-inf,0.00242558858543723,-6.021681068399149,0.00210585336798991,-6.163034493530095,0.004284079794275504,-5.452849500455368,0.00017102968064556696,-8.673673445496615,0.001170997997022985,-6.749898904852234
0.33999999999999986,0.0005191756082109561,-7.563268373240842,0.0,-inf,0.0,-inf,0.0,-inf,0.002881400387396919,-5.849478857389448,0.0025616651699496003,-5.967097774934575,0.004739891596235194,-5.351741013529249,0.000626841482605256,-7.3748168681068105,0.001431659521551403,-6.548921002993837
0.3500000000000001,0.0010113655343164908,-6.896453847102423,0.0,-inf,0.0,-inf,0.0,-inf,0.0033735903135024546,-5.691777726800436,0.0030538550960551346,-5.791350520575553,0.005232081522340729,-5.252946083461487,0.0011190314087107908,-6.795291781493278,0.0017274280208760858,-6.361121669832446
0.3599999999999999,0.0015416253343507732,-6.4749180071961066,0.0,-inf,0.0,-inf,0.0,-inf,0.003903850113536735,-5.545792004217315,0.003584114896089415,-5.631243726322639,0.005762341322375008,-5.156411407285787,0.001649291208745074,-6.407409653818999,0.002056383740664836,-6.186806304512862
0.3700000000000001,0.0021115882014500053,-6.160314912523317,0.0,-inf,0.0,-inf,0.0,-inf,0.004473812980635969,-5.409514218165646,0.00415407776318865,-5.483664833629133,0.006332304189474242,-5.06209109808658,0.002219254075844307,-6.1105841414311595,0.002416356068295235,-6.025494630507552
0.3799999999999999,0.0027228101052439936,-5.906090805054632,0.0,-inf,0.0,-inf,0.0,-inf,0.005085034884429958,-5.2814533892436,0.004765299666982638,-5.346394854665032,0.006943526093268231,-4.969945550890195,0.002830475979638292,-5.867310390784549,0.0028058829029809786,-5.87603702911312
0.3900000000000001,0.0033767500782353,-5.690841547354585,0.0,-inf,0.0,-inf,0.0,-inf,0.005738974857421266,-5.160474680868947,0.005419239639973946,-5.217799761199525,0.007597466066259538,-4.879940499618373,0.0034844159526296018,-5.659454837729707,0.003224134495189005,-5.737090738337841
0.3999999999999999,0.004074749588685818,-5.5029459848067255,0.0,-inf,0.0,-inf,0.0,-inf,0.006436974367871778,-5.045696667918689,0.006117239150424463,-5.096644403454476,0.008295465576710053,-4.792046229523606,0.004182415463080115,-5.476866337362525,0.003670949611497909,-5.607304900658645
0.41000000000000014,0.004818011158546691,-5.335394058779958,0.0,-inf,0.0,-inf,0.0,-inf,0.0071802359377326555,-4.936423036053448,0.006860500720285336,-4.98197484861284,0.009038727146570922,-4.706236916862109,0.004925677032940989,-5.31329354518857,0.004146738634001618,-5.48543312502319
0.41999999999999993,0.005607576410101325,-5.1836366652514565,0.0,-inf,0.0,-inf,0.0,-inf,0.007969801189287288,-4.83209573137354,0.007650065971839971,-4.873041007410946,0.009828292398125557,-4.6224900732267455,0.005715242284495624,-5.164618588146561,0.004652168343370823,-5.370421857669453
0.43000000000000016,0.006444303749538887,-5.044558677978362,0.0,-inf,0.0,-inf,0.0,-inf,0.008806528528724851,-4.732261954289438,0.008486793311277526,-4.769244051858073,0.01066501973756312,-4.540786076374824,0.006551969623933185,-5.0279895685939495,0.005187788236926799,-5.261447831224003
0.43999999999999995,0.007328845919142466,-4.915937221708394,0.0,-inf,0.0,-inf,0.0,-inf,0.009691070698328433,-4.6365503640000725,0.009371335480881109,-4.670099665579309,0.01154956190716671,-4.461107772849136,0.007436511793536766,-4.901353385034033,0.005754016158972845,-5.157857205554179
0.4500000000000002,0.008261627671658339,-4.796133656181787,0.0,-inf,0.0,-inf,0.0,-inf,0.010623852450844304,-4.544653574630995,0.010304117233396982,-4.575211732220093,0.012482343659682581,-4.383440140428003,0.00836929354605264,-4.783185801142938,0.00635112400933823,-5.059123472397239
0.45999999999999996,0.009242823840177706,-4.68390782960905,0.0,-inf,0.0,-inf,0.0,-inf,0.011605048619363666,-4.456315049745886,0.011285313401916346,-4.4842530975505115,0.013463539828201938,-4.307770000618744,0.009350489714572006,-4.6723265611630564,0.006979223705104277,-4.9648175854267
0.4700000000000002,0.010272338093990785,-4.578300618441573,0.0,-inf,0.0,-inf,0.0,-inf,0.012634562873176746,-4.3713191352440735,0.012314827655729428,-4.396951242170215,0.014493054082015025,-4.2340857731531205,0.01038000396838508,-4.567874018933766,0.007638253581446539,-4.8745862907500115
0.48,0.011349782684835752,-4.4785566819485325,0.0,-inf,0.0,-inf,0.0,-inf,0.013712007464021717,-4.289483372784554,0.013392272246574393,-4.3130774363963695,0.015570498672859995,-4.16237726584821,0.011457448559230051,-4.469115231293884,0.008327965426464981,-4.788136099159237
0.4900000000000002,0.012474459498270696,-4.384071965075115,0.0,-inf,0.0,-inf,0.0,-inf,0.014836684277456656,-4.210652497645656,0.014516949060009336,-4.23243841149782,0.01669517548629493,-4.092635494333291,0.012582125372664994,-4.375478093437513,0.00904791235147142,-4.70522122727631
0.5,0.013645342731066414,-4.2943570074336215,0.0,-inf,0.0,-inf,0.0,-inf,0.01600756751025238,-4.134693699166349,0.015687832292805064,-4.154869880302992,0.01786605871909066,-4.024852527068987,0.013753008605460708,-4.286497671134594,0.009797437702152677,-4.625634386455977
0.5100000000000002,0.01486106351713882,-4.20901067313242,0.0,-inf,0.0,-inf,0.0,-inf,0.01722328829632479,-4.061492840237979,0.016903553078877465,-4.080231437797029,0.01908177950516306,-3.959021351841188,0.014968729391533122,-4.201791961137951,0.010575665217065216,-4.549199651341194
0.52,0.016119896821231966,-4.127700942592131,0.0,-inf,0.0,-inf,0.0,-inf,0.01848212160041792,-3.9909514141407936,0.0181623863829706,-4.008402505688476,0.020340612809256198,-3.895135760533555,0.016227562695626262,-4.121044081522209,0.01138149063780065,-4.4757668713576155
0.5300000000000002,0.017419750911041847,-4.05015060668172,0.0,-inf,0.0,-inf,0.0,-inf,0.019781975690227806,-3.9229840745486824,0.019462240472780487,-3.939279076642824,0.021640466899066072,-3.8331902494941845,0.017527416785436147,-4.043988950551752,0.012213574969705302,-4.405207243402588
0.54,0.01875815970450608,-3.976126436990591,0.0,-inf,0.0,-inf,0.0,-inf,0.021120384483692033,-3.8575166155895135,0.020800649266244718,-3.8727710780387303,0.022978875692530314,-3.7731799332357756,0.018865825578900375,-3.97040316405851,0.013070339583099663,-4.3374097698090335
0.5500000000000003,0.020132278269461953,-3.9054308679172776,0.0,-inf,0.0,-inf,0.0,-inf,0.02249450304864792,-3.7944843085690367,0.022174767831200603,-3.8088002206856952,0.02435299425748619,-3.715100469560184,0.020239944143856253,-3.900097194257577,0.013949963332443973,-4.272278399216857
0.56,0.02153888172775557,-3.8378955246760666,0.0,-inf,0.0,-inf,0.0,-inf,0.023901106506941536,-3.7338305237547913,0.02358137128949421,-3.7472982307930884,0.025759597715779813,-3.6589479944913794,0.021646547602149874,-3.832909301353322,0.01485038185481843,-4.209729699934844
0.5699999999999998,0.022974367785261175,-3.7733761286266745,0.0,-inf,0.0,-inf,0.0,-inf,0.02533659256444714,-3.6755055817793583,0.025016857346999825,-3.688205387467919,0.027195083773285413,-3.6047190656454964,0.023082033659655467,-3.768700727720735,0.015769289189481464,-4.1496909526133035
0.5800000000000001,0.024434763073321316,-3.711748444508324,0.0,-inf,0.0,-inf,0.0,-inf,0.026796987852507285,-3.619465791345117,0.026477252635059956,-3.631469305748406,0.028655479061345555,-3.5524106128719604,0.024542428947715616,-3.7073518654729662,0.016704141837258206,-4.092098576102789
0.5899999999999999,0.025915733446164806,-3.6529050257473354,0.0,-inf,0.0,-inf,0.0,-inf,0.028277958225350765,-3.565672639098014,0.02795822300790345,-3.577043918432233,0.030136449434189038,-3.502019895171978,0.02602339932055911,-3.648759171826663,0.017652165352296217,-4.036896820278113
0.6000000000000001,0.027412598333315514,-3.596752578073912,0.0,-inf,0.0,-inf,0.0,-inf,0.02977482311250148,-3.5140921045644156,0.02945508789505415,-3.524888619967644,0.03163331432133975,-3.4535444630459335,0.027520264207709817,-3.5928326653922285,0.018610363529568998,-3.9840366744204854
0.6099999999999999,0.028920349196407166,-3.543209807199907,0.0,-inf,0.0,-inf,0.0,-inf,0.031282573975593135,-3.46469407846823,0.030962838758145813,-3.474967543309407,0.033141065184431405,-3.406982125543973,0.02902801507080148,-3.5394938783848504,0.019575530219760974,-3.9334749508942775
0.6200000000000001,0.030433672086819324,-3.492205649109543,0.0,-inf,0.0,-inf,0.0,-inf,0.032795896866005286,-3.417451866965759,0.03247616164855797,-3.4272489465168654,0.034654388074843556,-3.3623309213977635,0.030541337961213628,-3.488674170026413,0.020544263769238617,-3.885173512322263
0.6299999999999999,0.031946974244877496,-3.443677805463924,0.0,-inf,0.0,-inf,0.0,-inf,0.03430919902406345,-3.3723417676462057,0.03398946380661613,-3.3817046904318984,0.036167690232901735,-3.319589093699654,0.0320546401192718,-3.44031332858233,0.021512984047175283,-3.8390986169573367
0.6400000000000001,0.033454414623867626,-3.3975715243188325,0.0,-inf,0.0,-inf,0.0,-inf,0.03581663940305358,-3.3293427057610794,0.03549690418560628,-3.3383097923426943,0.037675130611891865,-3.2787550676702293,0.033562080498261926,-3.3943584059118557,0.022477951985093326,-3.7952203619728113
0.6499999999999999,0.03494993816369289,-3.3538385795830563,0.0,-inf,0.0,-inf,0.0,-inf,0.03731216294287886,-3.2884359212267977,0.03699242772543152,-3.297042043352242,0.03917065415171712,-3.2398274311191813,0.03505760403808719,-3.3507627407265055,0.023435291516690396,-3.7535122083125128
0.6600000000000001,0.036427313580639324,-3.31243641263409,0.0,-inf,0.0,-inf,0.0,-inf,0.038789538359825286,-3.2496046986109968,0.038469803142377974,-3.257881679403421,0.04064802956866357,-3.202804917258783,0.036534979455033624,-3.3094851360756783,0.02438101376845646,-3.713950573822375
0.6699999999999999,0.037880174382411695,-3.2733274071265006,0.0,-inf,0.0,-inf,0.0,-inf,0.04024239916159767,-3.2128341336558637,0.03992266394415035,-3.2208110976974647,0.042100890370435934,-3.167686389575966,0.037987840256806016,-3.2704891637064604,0.025311043314903563,-3.6765144838245245
0.6800000000000002,0.03930206276240747,-3.2364782738912816,0.0,-inf,0.0,-inf,0.0,-inf,0.04166428754159343,-3.1781109309799134,0.041344552324146105,-3.185814611677824,0.043522778750431694,-3.1344708285088085,0.03940972863680176,-3.233742573442124,0.026221246276902685,-3.641185270239074
0.69,0.04068647597513784,-3.201859527375837,0.0,-inf,0.0,-inf,0.0,-inf,0.0430487007543238,-3.1454232284866124,0.042728965536876475,-3.1528782389130403,0.044907191963162056,-3.103157319707676,0.04079414184953215,-3.1992167900002304,0.027107460008294115,-3.607946311919436
0.7000000000000002,0.042026914746818855,-3.169445038635697,0.0,-inf,0.0,-inf,0.0,-inf,0.044389139526004824,-3.114760444734868,0.04406940430855751,-3.121989517157252,0.04624763073484309,-3.0737450436906126,0.04213458062121317,-3.166886483024082,0.02796552408528326,-3.5767828101266996
0.71,0.04331693323240308,-3.13921165269781,0.0,-inf,0.0,-inf,0.0,-inf,0.04567915801158903,-3.08611314612499,0.045359422794141714,-3.0931373446404797,0.0475376492204273,-3.046233266728167,0.043424599106797364,-3.1367291987502623,0.02879131228577203,-3.547681594091811
0.7200000000000002,0.04455018999363748,-3.1111388603462986,0.0,-inf,0.0,-inf,0.0,-inf,0.04691241477282345,-3.0594729312490334,0.04659267955537613,-3.066311841276983,0.04877090598166172,-3.020621332814681,0.044657855868031775,-3.10872504384285,0.02958076522228481,-3.5206309524504302
