round,batch_id,chunk_index,proposals_generated,proposals_consumed,accepted_candidates,accepted_retained,cumulative_proposals_generated,cumulative_proposals_consumed,cumulative_accepted_retained
5,cert-r05-7b1f78d701ef1cfec013,96,25000,25000,8311,8311,2425000,2425000,811435
5,cert-r05-7b1f78d701ef1cfec013,97,25000,25000,8302,8302,2450000,2450000,819737
5,cert-r05-7b1f78d701ef1cfec013,98,25000,25000,8222,8222,2475000,2475000,827959
5,cert-r05-7b1f78d701ef1cfec013,99,25000,25000,8239,8239,2500000,2500000,836198
5,cert-r05-7b1f78d701ef1cfec013,100,25000,25000,8413,8413,2525000,2525000,844611
5,cert-r05-7b1f78d701ef1cfec013,101,25000,25000,8357,8357,2550000,2550000,852968
5,cert-r05-7b1f78d701ef1cfec013,102,25000,25000,8235,8235,2575000,2575000,861203
5,cert-r05-7b1f78d701ef1cfec013,103,25000,25000,8172,8172,2600000,2600000,869375
5,cert-r05-7b1f78d701ef1cfec013,104,25000,25000,8298,8298,2625000,2625000,877673
5,cert-r05-7b1f78d701ef1cfec013,105,25000,25000,8487,8487,2650000,2650000,886160
5,cert-r05-7b1f78d701ef1cfec013,106,25000,25000,8293,8293,2675000,2675000,894453
5,cert-r05-7b1f78d701ef1cfec013,107,25000,25000,8269,8269,2700000,2700000,902722
5,cert-r05-7b1f78d701ef1cfec013,108,25000,25000,8406,8406,2725000,2725000,911128
5,cert-r05-7b1f78d701ef1cfec013,109,25000,25000,8295,8295,2750000,2750000,919423
5,cert-r05-7b1f78d701ef1cfec013,110,25000,25000,8320,8320,2775000,2775000,927743
5,cert-r05-7b1f78d701ef1cfec013,111,25000,25000,8352,8352,2800000,2800000,936095
5,cert-r05-7b1f78d701ef1cfec013,112,25000,25000,8387,8387,2825000,2825000,944482
5,cert-r05-7b1f78d701ef1cfec013,113,25000,25000,8393,8393,2850000,2850000,952875
5,cert-r05-7b1f78d701ef1cfec013,114,25000,25000,8377,8377,2875000,2875000,961252
5,cert-r05-7b1f78d701ef1cfec013,115,25000,25000,8421,8421,2900000,2900000,969673
5,cert-r05-7b1f78d701ef1cfec013,116,25000,25000,8376,8376,2925000,2925000,978049
5,cert-r05-7b1f78d701ef1cfec013,117,25000,25000,8428,8428,2950000,2950000,986477
5,cert-r05-7b1f78d701ef1cfec013,118,25000,25000,8259,8259,2975000,2975000,994736
5,cert-r05-7b1f78d701ef1cfec013,119,25000,25000,8399,8399,3000000,3000000,1003135
