action_index,action,is_leader,is_maximizer,active_acquisition,estimated_gap,lambda_q,b_infer,b_struct,psi
124,-0.41879999999999995,False,False,0.19862023334263307,-0.12055935037574117,1.1688640000435118,0.018400526531710933,0.17357658240678026,0.07141775856275001
125,-0.4175,False,False,0.19905586356395066,-0.12012372015442357,1.1607978144916207,0.018273546779360147,0.17207356871061663,0.0702233953355532
126,-0.41619999999999996,False,False,0.19949268987795224,-0.119686893840422,1.1531324399385487,0.018152876686146523,0.17058614425682253,0.06905212710254706
127,-0.41489999999999994,False,False,0.19993040309809018,-0.11924918062028406,1.1458731264185211,0.018038598899319053,0.1691141481641192,0.0679035664431542
128,-0.41359999999999997,False,False,0.20036874912236013,-0.1188108345960141,1.139025032107662,0.01793079462007533,0.16765742121997415,0.06677738124403537
129,-0.4123,False,False,0.20080752444122255,-0.11837205927715169,1.1325932006991632,0.017829543247396246,0.16621580586338092,0.06567328983362547
130,-0.411,False,False,0.20124656967248766,-0.11793301404588657,1.1265825384148913,0.01773492201615738,0.16478914616781715,0.06459105413808795
131,-0.40969999999999995,False,False,0.20168576292605628,-0.11749382079231796,1.1209977908354318,0.017647005632382258,0.16337728782437944,0.06353047266444373
132,-0.4084,False,False,0.20212501367267702,-0.11705457004569722,1.1158435197463015,0.017565865908750044,0.16198007812509285,0.06249137398814568
133,-0.40709999999999996,False,False,0.20256425728357194,-0.1166153264348023,1.1111240802115778,0.01749157140368337,0.1605973659463941,0.06147361091527517
134,-0.40579999999999994,False,False,0.20300345022560418,-0.11617613349277006,1.1068435980969682,0.017424187067511275,0.15922900173278615,0.060477055307527366
135,-0.40449999999999997,False,False,0.20344256584775686,-0.11573701787061738,1.1030059482718604,0.017363773899320895,0.1578748374806617,0.05950159350936521
136,-0.4032,False,False,0.20388159069172004,-0.1152979930266542,1.0996147337237592,0.017310388618172072,0.15653472672229485,0.05854712231381273
137,-0.4019,False,False,0.20432052126903694,-0.1148590624493373,1.0966732658183145,0.017264083352346193,0.15520852450999958,0.05761354541300848
138,-0.40059999999999996,False,False,0.2047593612588699,-0.11442022245950434,1.094184545933642,0.01722490535022943,0.15389608740045174,0.05670077029117683
