action_position_x,action_position_xhat,node_x,node_xhat,action_key_x,action_key_xhat,stable_pair_key,descriptor_graph_distance,distance_quartile,total_structural_influence,factors_for_50_percent,factor_fraction_for_50_percent,factors_for_75_percent,factor_fraction_for_75_percent,factors_for_90_percent,factor_fraction_for_90_percent,factors_for_95_percent,factor_fraction_for_95_percent
18,128,274,1505,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000289881,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:6cd81f7261a9a25482f12b38e359c62b527133c61bb78937869813c49051da30,7,3,1.5307133399278898,738,0.005917349540563511,2811,0.022538847640276465,49236,0.3947786205680014,84203,0.6751471319296333
8,18,125,274,current-nlr-pbe-gw-v1:gw:matdb:000009995,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:6d0a4afe846be473dbe687d67865665ee72de713e79dbbb16b6e3d7a40f0af40,7,3,1.5785863712320598,764,0.006125819849580654,3435,0.02754213505668789,50223,0.40269247422184445,84520,0.6776888660818807
18,118,274,1249,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000289858,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:6f3bed2cacf402bc3b8d32bdfd7910be2365859abad717c22c3b3a791606b5e8,7,3,1.5959289743399643,773,0.006197982648855818,3713,0.029771163745409644,49222,0.39466636732468446,84165,0.6748424445549159
7,18,122,274,current-nlr-pbe-gw-v1:gw:matdb:000009577,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:70328d58b819ee144ab22569fc1f7a4f949c480e8d8f6da122c20cad81eb38d1,7,3,1.491199022221343,723,0.005797078208438237,2510,0.02012540290896262,49914,0.40021488478006384,84315,0.6760451578761686
18,38,274,504,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000286953,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:72a9f8931ab3b30a889009c573f644ed3819d7b07ca39986ebfe9e6bf982879e,7,3,1.477588420333772,717,0.005748969675588127,2472,0.01982071553424526,50229,0.4027405827546946,84438,0.6770313827995958
18,158,274,1899,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000290197,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:807cc57aee20386a0ef7a332b177eba0accfb93c611963a86dd3297585e7d4d9,7,3,1.630217050470037,791,0.006342308247406148,4632,0.0371397873602848,50631,0.405963854455652,84487,0.6774242691512051
18,179,274,2047,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000010746,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:80b7cc6422cf634046c330ceb728b05bb6f0cd7a785f925a96c8cd52bc682828,7,3,1.724694144526464,833,0.006679067977356917,5975,0.047908080629901054,49955,0.4005436264212062,84148,0.6747061370451739
18,110,274,1089,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000010295,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:84937305913bcfa31ac846d2ee7466d51e9f6da6d5937dd66b003cc34a109f22,7,3,1.683645278071575,815,0.006534742378806587,4764,0.03819817508298722,49585,0.39757693356211615,84126,0.6745297390913901
12,18,138,274,current-nlr-pbe-gw-v1:gw:matdb:000009592,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:9b2366b9cb19bfd31d7ab51903592335881c053f280d990d0595fda6e7a050ad,7,3,1.609729464277889,780,0.00625410927051428,4307,0.03453390849757052,50242,0.4028448179092032,84392,0.6766625507144117
18,178,274,2046,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000287083,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:9ebb877b86f2d8fc73c4a77d41570fba1b9d4e08f2bb29c67d8d23fb8a0d47c4,7,3,1.521770144948642,736,0.005901313362946808,3050,0.024455170865472504,50055,0.4013454353020414,84419,0.6768790391122372
18,76,274,720,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000010421,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:b2a547348bdee31ae0509d32cd341a31cdc15e4dc50fabfba6360d198cf61ceb,7,3,1.6558178832420134,802,0.006430507224298016,4459,0.035752657996439965,50104,0.40173832165365064,84357,0.6763819176061194
18,102,274,931,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000011827,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:b5b293df2818c04313ea1605f97c0adf5de344959b55017d9008bb4ea39a4a8f,7,3,1.5163224517487746,736,0.005901313362946808,2999,0.02404624833624657,50313,0.4034141022145961,84388,0.6766304783591783
18,182,274,2055,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000290238,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:bedd57af60c5499a507c3979375b2d6b7167771f356f8a51729c6317ffc8a93e,7,3,1.5309879554337962,738,0.005917349540563511,2844,0.02280344457095207,49323,0.395476194294328,84232,0.6753796565050755
