support_position,node_index,role,fps_addition_step,fps_selection_distance,action_key,composition_key,normalized_formula,pbe_band_gap_ev
113,509,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000010575,current-nlr-pbe-gw-v1:composition:c535fc5fb215ba09797678d99ca6e0148fec6347da136e2fde2c70a15b9ee0b0,Bi2 O3,2.212
114,510,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000011802,current-nlr-pbe-gw-v1:composition:65be4e207640811ebf752ee8bc0fcd2fee75d5e6dfc7c2037a72d1ba7c26c59f,Bi2 O4 Sr,2.637
115,511,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000011201,current-nlr-pbe-gw-v1:composition:48a28b53751d8308a768aed52d5e1789883fb7048d68f3ce065d37b64b600694,Bi2 O4 Zn,2.169
116,512,pbe_only_fps,48,10.65111203664484,,current-nlr-pbe-gw-v1:composition:5ec46deb5528b5e263c8c8cd143fa21ec56766642cd2fdaf21eb01edbaeb1bd4,Bi7 N O12,2.028
117,513,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289999,current-nlr-pbe-gw-v1:composition:e7b9b30195728e1d94e3e2197a7a27b1a8c003f6895c98b13e2f05adac167a6a,Br Li3 O,4.297
118,514,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000290087,current-nlr-pbe-gw-v1:composition:09ce9e8c582ad0062585d056e15000f2fce96831c5016e49ca8bc1a0cf82a2cb,Br Na3 O,1.88
119,516,pbe_only_fps,3,32.06774089638381,,current-nlr-pbe-gw-v1:composition:94ba91843486278d592b382f2fbd7b2548b1cbdf15a529b17d807de4f2643d0b,C3 N2 O2,1.108
120,517,pbe_only_fps,17,18.172025819115948,,current-nlr-pbe-gw-v1:composition:5f439c013ddf10c1018281575b8e2704d21d6bfe888b45088177d30986059a18,C4 N4 O,2.432
121,518,pbe_only_fps,20,16.53679546808823,,current-nlr-pbe-gw-v1:composition:c90a2b076dfcceefd8f225cd92ae2a8de7a3cc5dea15cc4eb555f84164433057,C7 N4 O8,3.407
122,519,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289757,current-nlr-pbe-gw-v1:composition:bed4fa4057f3f358e802ae0dbfd0aad6262e5ae9610147c79ccebab6a6b6fb48,Ca Ce O3,2.483
123,527,pbe_only_fps,306,5.115384659610862,,current-nlr-pbe-gw-v1:composition:0d55f175ae70303c1a38cb2f07a638ae9a3d5633aa30791c0523b49423941d12,Ca Cu3 O12 Sn4,1.447
124,542,pbe_only_fps,98,7.981420019357615,,current-nlr-pbe-gw-v1:composition:3eebeb3cd5c45e4871f928f9520b2c9f1cc7fd54c00f76fe9eed1cf56ff11440,Ca Hg O2,2.188
125,550,pbe_only_fps,285,5.328987969098215,,current-nlr-pbe-gw-v1:composition:48e62eda3ce712256788b6bfcfc3d97410db9ff891a8a56d461e0a744cba2240,Ca Mg3 O10 Si3,3.416
126,559,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000010042,current-nlr-pbe-gw-v1:composition:26283c9bad04e871494193a57cb7d6a349493bbdb99909cd31ecf48fbc05c86e,Ca O,3.641
127,560,pbe_only_fps,156,6.834968897844393,,current-nlr-pbe-gw-v1:composition:d50afcd9588c6cfe885230834bbf357fb92a0089f0e6501398f5389fa8645682,Ca O2,2.587
128,561,pbe_only_fps,281,5.348267633928421,,current-nlr-pbe-gw-v1:composition:b41feb5113ad8c9cc0d9577d0be506142902aa1e51f9f95e7d8dbdd61e5093b1,Ca O3 Pb,0.973
129,566,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289749,current-nlr-pbe-gw-v1:composition:942d9c8ef0ebbfdd36034d8f75f285b76cec34c2a78e95d7416922f78bc94d79,Ca O3 Sn,2.943
130,567,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289780,current-nlr-pbe-gw-v1:composition:065008d77b6a9db58faa0cd51a22d9c78583a7ec171f591165bd89e314ca2afd,Ca O3 Ti,2.702
131,580,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289740,current-nlr-pbe-gw-v1:composition:02175999c8cd8d0dbc5fe4f71e18b98569b4618020138c500145aa4d5aae237d,Ca O6 Sb2,2.644
132,585,pbe_only_fps,203,6.125294636715336,,current-nlr-pbe-gw-v1:composition:b6d099d4676f3dfaa077f7885ca09f57fee0c48685d3c0c10c2e60879f077084,Ca O8 Si3 Zn,4.081
133,589,pbe_only_fps,146,6.962414928020858,,current-nlr-pbe-gw-v1:composition:968dc684c1ae9e80481b967ac6bc0a4d680cb0a9d1a3f3e2c3b27bc4ef2b480d,Ca2 Co O3,0.588
134,601,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289794,current-nlr-pbe-gw-v1:composition:541d0b4d14926315378a30196a2d9199c48e78fdc5072a66712b66912df9df3b,Ca2 Nb2 O7,3.02
135,603,pbe_only_fps,125,7.2714413134401115,,current-nlr-pbe-gw-v1:composition:8477de3a9650370cdb12aa3444568ffecaa6ae334ff73fc3d566927b8b223268,Ca2 O12 Pb Si3 Zn3,3.704
136,604,pbe_only_fps,168,6.660349898293034,,current-nlr-pbe-gw-v1:composition:ced9cec203e5a7c9f980f8c1e085b91e9bd3feccaadea3269a157d334ac1430a,Ca2 O12 Si4 Zr,4.914
137,610,pbe_only_fps,122,7.314904198184982,,current-nlr-pbe-gw-v1:composition:4abc729916faa0e3ed5fafc47c13933066c24ce6ad0b3159775c9f57df3de2af,Ca2 O6 Pd W,1.907
138,614,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289808,current-nlr-pbe-gw-v1:composition:5c7f82fa056058c1edf8ea33ce0d68eda3a11fab85451c75ba6f03bf5e4afe23,Ca2 O7 Ta2,3.372
139,624,pbe_only_fps,36,12.537337061168197,,current-nlr-pbe-gw-v1:composition:ce9114c8e99c882bb467ff85c1999fc130f1962367816166b72e1042e664c10b,Ca3 Ge O2,0.397
140,632,pbe_only_fps,152,6.8630046847966755,,current-nlr-pbe-gw-v1:composition:36728caab778a44b8b885b804e29c606a7fb9a92f64c6fea38504e455c707425,Ca3 O Si,0.231
141,644,pbe_only_fps,115,7.554990300723578,,current-nlr-pbe-gw-v1:composition:665825cc406b26178f1a3f8e7ba282c7a4f40cc040c02d9bfc30ccda23cd41d7,Ca4 O6 Pd,1.957
142,648,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000009667,current-nlr-pbe-gw-v1:composition:29ec3f7da6c5cdea7efb8a8217a4ca5b9319ca4f44b26e36ad760794a92e3fdb,Cd Co2 O4,1.853
143,650,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000009691,current-nlr-pbe-gw-v1:composition:f2f392a417364ab9ce8465d7289eb32f7f2cb18d93d86d8f20a5c88cf91fa071,Cd Cr2 O4,2.495
144,653,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000010286,current-nlr-pbe-gw-v1:composition:3d87705b843a355d26d3cf2d43b77b446e83e475b726f8396410f1af9abc130b,Cd Fe2 O4,1.423
145,654,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000009900,current-nlr-pbe-gw-v1:composition:9744f268cf9148d6f48c473dd0083d67b8ff2131d8582ee4a639a091db33ef03,Cd Ga2 O4,1.617
146,657,pbe_only_fps,120,7.417492435024429,,current-nlr-pbe-gw-v1:composition:6b35fc8f36445edadff67f83bbde9625d2ab70e4678d6f98b12d4c90cb1a3658,Cd Hg O2,0.523
147,658,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000010018,current-nlr-pbe-gw-v1:composition:2a3f1a541fc3990b3f0577ab61fc22e506d1abdd1514a2fd218f50a057495259,Cd In2 O4,0.933
148,663,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000011892,current-nlr-pbe-gw-v1:composition:200c37b94c03a0afdbd7c93c0230e6bc3d516017b374e9e92f8d665d9ef8ca3a,Cd Mn2 O4,1.257
149,668,pbe_only_fps,157,6.830574484669399,,current-nlr-pbe-gw-v1:composition:8aa66f5314f6bc2c360aa50bb1d9d97e8de7e0c20081c86b248d2b4bf2f07e89,Cd O2 Rb2,1.331
150,675,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000011004,current-nlr-pbe-gw-v1:composition:2e51526b13ce06c1fb34d6a2f65bd87d80ce86346b173ed90e5a33bfec790c00,Cd O4 Sb2,2.551
151,685,pbe_only_fps,255,5.5409252260936475,,current-nlr-pbe-gw-v1:composition:05bf8b4c91a0d5c6ffb888d182422e343573af7cc682b2d1bf3c6ace2a030aed,Cd2 K2 O3,0.664
152,691,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000010085,current-nlr-pbe-gw-v1:composition:d34ce30b7a9cc6c5f912e4d12461effb7f2c00667d371945bb88cc0c75cdca63,Cd2 O4 Sn,0.416
153,693,pbe_only_fps,263,5.515353638047172,,current-nlr-pbe-gw-v1:composition:78cc399f4c8d23b455314bf13e36f49408b13ed4d2ba9960cf3a49167ad1d6d0,Cd2 O7 Ru2,0.185
154,695,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000286978,current-nlr-pbe-gw-v1:composition:5a326213be9b6cba8e620bc7c20801a5b85e1127964bfcd201c571b1f117883d,Cd3 Cl2 O2,1.184
155,698,pbe_only_fps,272,5.417959613327285,,current-nlr-pbe-gw-v1:composition:18c66f7ba479cab23db53f93e0a4d6c1e69e7038d490657f33a00f3e0ed7e2b4,Cd3 O11 Rb V3,2.941
156,702,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289994,current-nlr-pbe-gw-v1:composition:f5d9c456c6404b3e8859381ea4b5a0c65310e8f8207b3c56a1b3d3d2dbcd06e2,Ce Mg O3,2.139
157,703,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289867,current-nlr-pbe-gw-v1:composition:b1479ec6d7ef0d7af2b32be4aba0984a1a0fc36420ea62e4aade03c03f54d5e3,Ce O2,1.949
158,704,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000290176,current-nlr-pbe-gw-v1:composition:e13982c3d9009c90d2e4612dc36bdef6794951d3b8b4d20cdf40ee9c9322c133,Ce O3 Sr,2.472
159,705,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000290178,current-nlr-pbe-gw-v1:composition:6b38e4c490d3df652e4c376695845ac78e2e9d138f1464ee640f7082df971695,Ce O4 Sr2,2.407
160,706,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289894,current-nlr-pbe-gw-v1:composition:5741f78015c95a8e66ff696129c5be7e62619662563fad8d23eaf3f2630e87a3,Ce2 La2 O7,2.32
161,707,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289849,current-nlr-pbe-gw-v1:composition:ac2a6ccbdebd52d0c53f14a9305762f6da0387029fbd5ed13dd9221308376ad1,Ce2 O3,1.451
162,708,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000286988,current-nlr-pbe-gw-v1:composition:e906dbf95fbd861d46bdbb2239333ad604a628609cba71bc51579f1c1c675f6a,Cl In O,2.365
163,709,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000289958,current-nlr-pbe-gw-v1:composition:bace706d22c33cedfaeeb0ac34dee033580cb10bf1996090188149b6ca75e26e,Cl Li3 O,4.702
164,710,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000290106,current-nlr-pbe-gw-v1:composition:88467e1077156c34db2b1b418028de1715e5644916dcf99900ba10a7a12883ad,Cl Na3 O,2.045
165,712,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000011744,current-nlr-pbe-gw-v1:composition:27da5ac79a0bc52eb148d6dc0f4af2dc351cb4a16c185bed68cd16a05e4f2e8c,Co Cr2 O4,2.448
166,715,pbe_only_fps,211,6.033350485206367,,current-nlr-pbe-gw-v1:composition:0e88498f915da122e06099e567239d67b978f41059f7d8843d418c8f31ba6db0,Co Cu2 O7 Sr2 Y,0.624
167,716,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000011596,current-nlr-pbe-gw-v1:composition:2e7a74218960ad8f281338db47363ffe9337e8cce8339b618630ae99b8fc372d,Co Fe2 O4,1.042
168,717,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000010320,current-nlr-pbe-gw-v1:composition:26e620c9df6375349421aba763591551b1851f72bef17afcbbb1c550bfe200fb,Co Ga2 O4,1.94
169,720,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000010421,current-nlr-pbe-gw-v1:composition:b2a547348bdee31ae0509d32cd341a31cdc15e4dc50fabfba6360d198cf61ceb,Co In2 O4,1.008
170,724,pbe_only_fps,184,6.297410196112218,,current-nlr-pbe-gw-v1:composition:ca1a16e53fa9ca4af87ad0e5af7e12328a3cc3c39686689d0a20262387075107,Co K2 O4 Si,2.793
171,730,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000011455,current-nlr-pbe-gw-v1:composition:93fc348e1dfe7f5023ae208be1b6652ac876c1734d84af8669cd57c591692c0e,Co Li O2,2.171
172,745,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000011269,current-nlr-pbe-gw-v1:composition:cc03880303e4d6164d01b8f157ff95d1d5f4ac63807ce8ea13723bb9eb6b122a,Co Ni O4 Sn,1.172
173,746,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000011024,current-nlr-pbe-gw-v1:composition:d9370cdc9701ddebc40908ade300ef0b1b82e19b20257a299c2a519823ad97da,Co O,1.226
174,748,pbe_only_fps,169,6.656039885423345,,current-nlr-pbe-gw-v1:composition:d9b297edfe1ce4d16566ad7dd52a7ae6432f2f796de30e0df63d8ab2a8596986,Co O2 Pd,0.042
175,754,pbe_only_fps,202,6.138155965698467,,current-nlr-pbe-gw-v1:composition:5cda5f2cdc0c494c23d687fd614772f5a3b85c3591bfd6526fa57f134d2d8ff6,Co O3 Y,1.124
176,757,pbe_only_fps,102,7.872217263394656,,current-nlr-pbe-gw-v1:composition:6d734762b2908868f212681364f73c27f0fff65e13da727fb229a2f28f0dd498,Co O6 Pt3,0.576
177,761,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000012255,current-nlr-pbe-gw-v1:composition:5e10c7b001b2628ed97a087604278ff93a88b1a723b05637b6a986e2f941d5f9,Co2 Cu O4,0.932
178,768,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000010113,current-nlr-pbe-gw-v1:composition:8835f014a0784ca4299ca953a6aa515f2c4ec943fb72f2949e5f4ef6405256ed,Co2 Mg O4,2.113
179,772,pbe_only_fps,46,10.950899483863221,,current-nlr-pbe-gw-v1:composition:8498ebcbe5a2326f56060dfc87ec554daee6bc02ea2abba1b7c52ce74bf012f0,Co2 N2 O,0.036
180,776,pbe_only_fps,256,5.53325251593267,,current-nlr-pbe-gw-v1:composition:46e8abbf62c30e381b04e1745570bbbc9328588b26e0a41e7e62e1fff076db94,Co2 Na7 O6 Rb,1.19
181,781,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000009677,current-nlr-pbe-gw-v1:composition:3d77b7404a022890db7e958c049df033ead24f07421037f19e8f4b984d31e20c,Co2 O4 Zn,1.952
182,788,pbe_only_fps,14,18.645548561935403,,current-nlr-pbe-gw-v1:composition:7a3d582f51ee78f5465645bd9ce46928aa8f2ba8fc5da70674b4f48662458352,Co3 O Ti3,0.039
183,789,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000010126,current-nlr-pbe-gw-v1:composition:8fb4e424596e12e84ae5077700dffd966b3ba2868c75d19d3fe53ff4aa9b3451,Co3 O4,1.648
184,795,pbe_only_fps,240,5.737280398932606,,current-nlr-pbe-gw-v1:composition:1f69a5f7f5e56d7690b5f1aaffe256a5faecd0afae6f33fd52063451798bcc5a,Co6 O11 Sr,0.583
